seed,model,wpn,lml,mse
100,Diffusion,,22.549574560679716,0.06659720306997634
100,GRF,512.0,15.02860940999227,0.05326204114107736
100,GRF-ablation,512.0,-85.37523493534799,0.036154713264752183
100,GRF,1024.0,21.13768549764795,0.05211924767713856
100,GRF-ablation,1024.0,-83.91962697744844,0.036153302986631324
100,GRF,2048.0,19.602404981422808,0.051347261093155176
100,GRF-ablation,2048.0,-82.09844895589661,0.03615569408506352
100,GRF,4096.0,19.68959569540266,0.060490429883517105
100,GRF-ablation,4096.0,-80.62154565455977,0.03615973113196895
100,GRF,8192.0,21.638826819383667,0.057024389722764954
100,GRF-ablation,8192.0,-78.97979772156437,0.03616659236759214
