graph_size,beta_exp,seed,degree,data_fit,complexity,constant,fro
20,0.01,0,1,[[-10.00000089]],-0.41244225714766636,-18.37877066409345,0.2851554549992888
20,0.01,0,2,[[-10.00002089]],1.4635882329499106,-18.37877066409345,0.46663833196061566
20,0.01,0,3,[[-10.00000158]],1.6278801237583873,-18.37877066409345,0.6134290234375965
20,0.01,0,4,[[-10.00000053]],1.7207490611921803,-18.37877066409345,0.6864930946332666
20,0.01,0,5,[[-9.99911584]],3.611502003898896,-18.37877066409345,0.7788454394601271
20,0.01,0,6,[[-9.99455895]],5.726248782336773,-18.37877066409345,0.77723920199251
20,0.01,0,7,[[-10.00074485]],6.791588801126712,-18.37877066409345,0.8079918089362823
20,0.01,0,8,[[-10.00007773]],6.894652603576242,-18.37877066409345,0.7686861729242082
20,0.01,0,9,[[-10.02311899]],6.319202045261459,-18.37877066409345,0.7564579650132423
20,0.01,0,10,[[-9.98999975]],6.634492361557263,-18.37877066409345,0.7560307733090535
20,0.01,1,1,[[-10.00000142]],-1.9322617050015245,-18.37877066409345,0.17563826786802733
20,0.01,1,2,[[-10.00006337]],-0.8405979918655384,-18.37877066409345,0.36545544491775556
20,0.01,1,3,[[-10.00000007]],-0.8405317882409378,-18.37877066409345,0.36855691076084846
20,0.01,1,4,[[-10.0002032]],-0.8396870922602774,-18.37877066409345,0.3713288755271523
20,0.01,1,5,[[-10.0003259]],-0.8394139700782257,-18.37877066409345,0.3705623116840505
20,0.01,1,6,[[-9.99998729]],-0.8284826944844496,-18.37877066409345,0.3713084049660085
20,0.01,1,7,[[-9.99992773]],-0.8253370765854127,-18.37877066409345,0.3724998336768885
20,0.01,1,8,[[-10.00069611]],-0.8194816705045436,-18.37877066409345,0.3735123098498008
20,0.01,1,9,[[-9.99994101]],-1.1476881109475823,-18.37877066409345,0.45382517084508217
20,0.01,1,10,[[-9.99963995]],-0.7980101873688833,-18.37877066409345,0.3742850277876097
20,0.01,2,1,[[-10.00000132]],-1.9660746125507385,-18.37877066409345,0.1784213606514342
20,0.01,2,2,[[-10.00000007]],-1.8100453429801613,-18.37877066409345,0.2397177783355484
20,0.01,2,3,[[-9.99998981]],-1.8071777910107554,-18.37877066409345,0.2367198569079491
20,0.01,2,4,[[-9.99999674]],-1.2956223979332908,-18.37877066409345,0.4474861919504546
20,0.01,2,5,[[-9.9999849]],0.7640199640216985,-18.37877066409345,0.5686868121724982
20,0.01,2,6,[[-9.99965766]],0.6965157850985503,-18.37877066409345,0.6031044464537778
20,0.01,2,7,[[-9.99941264]],0.5972404387376125,-18.37877066409345,0.6468415748093949
20,0.01,2,8,[[-9.99966879]],0.7408892579347697,-18.37877066409345,0.5353824909707098
20,0.01,2,9,[[-10.0000748]],0.5914971342395642,-18.37877066409345,0.5175978995600076
20,0.01,2,10,[[-10.00151607]],0.6394313588697298,-18.37877066409345,0.5534323485548405
20,0.01,3,1,[[-10.]],0.6373921565382326,-18.37877066409345,0.06587399990841876
20,0.01,3,2,[[-9.99999991]],1.0563600490588008,-18.37877066409345,0.2512329229045454
20,0.01,3,3,[[-10.00000282]],1.0564331671884597,-18.37877066409345,0.24946310322627183
20,0.01,3,4,[[-10.00000613]],1.0872562179137322,-18.37877066409345,0.2550253201468772
20,0.01,3,5,[[-9.99995272]],1.486435249042098,-18.37877066409345,0.4571618522053939
20,0.01,3,6,[[-9.99956352]],3.4472665858895084,-18.37877066409345,0.8539034366644758
20,0.01,3,7,[[-9.99949605]],3.3477560291915403,-18.37877066409345,0.8724953601967953
20,0.01,3,8,[[-10.00008083]],3.2284088882528463,-18.37877066409345,0.8837299940908055
20,0.01,3,9,[[-10.00049924]],3.9528764133857663,-18.37877066409345,0.46389726943879167
20,0.01,3,10,[[-9.99902412]],1.559415999628426,-18.37877066409345,0.7986278189797238
20,0.01,4,1,[[-9.99999998]],5.197540313860356,-18.37877066409345,0.18713983775835885
20,0.01,4,2,[[-9.99999468]],5.232354804489923,-18.37877066409345,0.03824897139466769
20,0.01,4,3,[[-9.99995442]],6.421477253497876,-18.37877066409345,0.3836210388211835
20,0.01,4,4,[[-9.99998948]],6.431917269698766,-18.37877066409345,0.3780451842533939
20,0.01,4,5,[[-10.00002497]],6.851301723949118,-18.37877066409345,0.46054852221791287
20,0.01,4,6,[[-9.99970064]],6.885991032300177,-18.37877066409345,0.4506405217430682
20,0.01,4,7,[[-9.99974059]],6.9158296496477725,-18.37877066409345,0.442081060649613
20,0.01,4,8,[[-10.00189724]],6.947883200718518,-18.37877066409345,0.4335321825667416
20,0.01,4,9,[[-10.00312353]],6.973832827117419,-18.37877066409345,0.4277627148854911
20,0.01,4,10,[[-9.999529]],7.020511302537245,-18.37877066409345,0.42951274711585474
20,0.1,0,1,[[-10.]],0.20024491421571872,-18.37877066409345,0.3194342248394334
20,0.1,0,2,[[-10.00003042]],2.4361834180191817,-18.37877066409345,0.47213323055299533
20,0.1,0,3,[[-10.00000117]],2.654063711492801,-18.37877066409345,0.6425448848731063
20,0.1,0,4,[[-10.00000029]],2.7380915015556573,-18.37877066409345,0.7119810921083901
