graph_size,beta_exp,seed,data_fit,complexity,constant
20,0.01,0,[[-12.88742882]],2.8611664327625377,-18.37877066409345
20,0.01,1,[[-12.13038845]],-0.0009788266571470088,-18.37877066409345
20,0.01,2,[[-12.17147524]],-0.0009768225718889975,-18.37877066409345
20,0.01,3,[[-9.3820723]],-0.0004931481632047262,-18.37877066409345
20,0.01,4,[[-9.88618344]],5.090272767803567,-18.37877066409345
20,0.1,0,[[-13.00422032]],3.9152330220078575,-18.37877066409345
20,0.1,1,[[-10.98298818]],-0.0009725174088078577,-18.37877066409345
20,0.1,2,[[-11.08416475]],-0.0009667156108361199,-18.37877066409345
20,0.1,3,[[-9.24116486]],0.7605879270095449,-18.37877066409345
20,0.1,4,[[-9.88271753]],5.9865831014437125,-18.37877066409345
20,1.0,0,[[-13.84591517]],14.070648692505774,-18.37877066409345
20,1.0,1,[[-9.11504336]],7.300469647988109,-18.37877066409345
20,1.0,2,[[-10.17538887]],8.072480923471849,-18.37877066409345
20,1.0,3,[[-9.10524085]],9.635468808507778,-18.37877066409345
20,1.0,4,[[-9.81324871]],14.892544611915003,-18.37877066409345
20,10.0,0,[[-12.90201019]],76.53455389534368,-18.37877066409345
20,10.0,1,[[-10.06595379]],81.2235439583635,-18.37877066409345
20,10.0,2,[[-8.61893646]],78.41842917204893,-18.37877066409345
20,10.0,3,[[-11.18996476]],81.68896752191873,-18.37877066409345
20,10.0,4,[[-16.13476943]],86.2713275316001,-18.37877066409345
40,0.01,0,[[-25.62841649]],1.2417462461908562,-36.7575413281869
40,0.01,1,[[-18.76848335]],0.18569988818436511,-36.7575413281869
40,0.01,2,[[-22.18311992]],-0.0018988163809791308,-36.7575413281869
40,0.01,3,[[-21.23508447]],0.7413069934402295,-36.7575413281869
40,0.01,4,[[-20.95670312]],-0.0018681442058404063,-36.7575413281869
40,0.1,0,[[-25.69858235]],3.113905123451398,-36.7575413281869
40,0.1,1,[[-18.80385787]],2.0200004101267366,-36.7575413281869
40,0.1,2,[[-20.69414438]],0.36255382620318716,-36.7575413281869
40,0.1,3,[[-21.19573914]],2.499080503436443,-36.7575413281869
40,0.1,4,[[-19.8382818]],0.7133250679884257,-36.7575413281869
40,1.0,0,[[-26.32529982]],21.755140676261615,-36.7575413281869
40,1.0,1,[[-19.16377016]],20.368661028811886,-36.7575413281869
40,1.0,2,[[-20.91531017]],18.51728089674422,-36.7575413281869
40,1.0,3,[[-20.83409585]],20.107876728974066,-36.7575413281869
40,1.0,4,[[-19.62942063]],18.52825297601123,-36.7575413281869
40,10.0,0,[[-18.99675718]],160.17704162915982,-36.7575413281869
40,10.0,1,[[-17.31360587]],164.3786452364258,-36.7575413281869
40,10.0,2,[[-22.39756907]],159.11635994070537,-36.7575413281869
40,10.0,3,[[-21.83266313]],159.76143591739515,-36.7575413281869
40,10.0,4,[[-21.28503018]],164.06010567792183,-36.7575413281869
80,0.01,0,[[-40.08593849]],-0.0039061039170267256,-73.5150826563738
80,0.01,1,[[-39.74249995]],3.4874694660365435,-73.5150826563738
80,0.01,2,[[-42.95553593]],-0.0038962988940098565,-73.5150826563738
80,0.01,3,[[-45.52502719]],-0.003966435544779085,-73.5150826563738
80,0.01,4,[[-41.82779035]],4.418892647241281,-73.5150826563738
80,0.1,0,[[-36.68327215]],0.34638810755805954,-73.5150826563738
80,0.1,1,[[-39.72365343]],7.060293918538993,-73.5150826563738
80,0.1,2,[[-39.98978173]],0.7470131152240683,-73.5150826563738
80,0.1,3,[[-41.5756141]],-0.0038192974738573827,-73.5150826563738
80,0.1,4,[[-41.84703954]],8.04011643477195,-73.5150826563738
80,1.0,0,[[-37.25790441]],36.778200638822454,-73.5150826563738
80,1.0,1,[[-39.59020519]],42.824249703643275,-73.5150826563738
80,1.0,2,[[-40.07733077]],36.821795987347805,-73.5150826563738
80,1.0,3,[[-39.92184181]],34.41231724717308,-73.5150826563738
80,1.0,4,[[-42.01037291]],44.2274427660725,-73.5150826563738
80,10.0,0,[[-45.09246835]],322.3527153658773,-73.5150826563738
80,10.0,1,[[-39.76958961]],324.2817022974334,-73.5150826563738
80,10.0,2,[[-48.55397508]],314.88332003867646,-73.5150826563738
80,10.0,3,[[-37.33341223]],326.78702595156864,-73.5150826563738
80,10.0,4,[[-32.69428382]],317.8540290072437,-73.5150826563738
160,0.01,0,[[-82.7275137]],-0.0078108772421377716,-147.0301653127476
160,0.01,1,[[-79.54412337]],16.740367273354867,-147.0301653127476
