iteration,best_value,best_point,regret,dataset_size,batch_mean,batch_std,batch_max,algorithm,bo_seed,bo_run,data_seed,ground_truth_best,n_nodes,batch_size,retrain_interval,graph_type
1,1.8919162395092193,163862,0.3335297151194214,200,-0.024001490468495094,1.411491775850918,1.8919162395092193,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
2,1.8919162395092193,163862,0.3335297151194214,300,0.03069153029628155,1.455395158749743,1.8329515983746048,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
3,1.9053463605435865,120465,0.3200995940850542,400,-0.08636568848673512,1.4982143520888296,1.9053463605435865,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
4,1.969341398085271,184156,0.2561045565433697,500,-0.011959040335593007,1.4735781785123152,1.969341398085271,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
5,2.091914337106009,145338,0.13353161752263176,600,0.259048134632764,1.3868458497645189,2.091914337106009,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
6,2.091914337106009,145338,0.13353161752263176,700,0.025000519543264453,1.443113931664588,1.8917945265451792,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
7,2.091914337106009,145338,0.13353161752263176,800,0.09834883670367717,1.5370069422324044,1.8121644915429012,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
8,2.091914337106009,145338,0.13353161752263176,900,-0.07970839703300331,1.4892882298850365,1.9445493998272636,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
9,2.091914337106009,145338,0.13353161752263176,1000,0.15189567937097684,1.35484166750338,1.852634622101009,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
10,2.091914337106009,145338,0.13353161752263176,1100,-0.27338411540453045,1.5624833986956628,1.829055722479495,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
11,2.091914337106009,145338,0.13353161752263176,1200,-0.07223082776089282,1.5070672545988708,1.878975755664502,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
12,2.091914337106009,145338,0.13353161752263176,1300,-0.06804351040826488,1.5411233378137414,1.9404083499092573,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
13,2.091914337106009,145338,0.13353161752263176,1400,-0.17530645803375983,1.495445535757606,1.8101697351487902,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
14,2.091914337106009,145338,0.13353161752263176,1500,-0.07630292224156932,1.4786767977376303,1.8773854939554968,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
15,2.091914337106009,145338,0.13353161752263176,1600,-0.22508401928221355,1.528514636391741,1.8988947364631026,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
16,2.091914337106009,145338,0.13353161752263176,1700,0.26462233546167596,1.298673431977436,1.8568367386796132,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
17,2.091914337106009,145338,0.13353161752263176,1800,0.04523488148438291,1.3687730467428394,1.9118675521020934,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
18,2.091914337106009,145338,0.13353161752263176,1900,0.11788622283770317,1.448768766681965,1.8743536022363365,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
19,2.091914337106009,145338,0.13353161752263176,2000,-0.027409810137861333,1.5569430860292577,1.9005309665484005,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
20,2.091914337106009,145338,0.13353161752263176,2100,-0.09017211494292665,1.4285933267514137,1.8634755245525276,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
21,2.091914337106009,145338,0.13353161752263176,2200,-0.08927933670539741,1.5195763584144555,1.8196121493249318,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
22,2.091914337106009,145338,0.13353161752263176,2300,0.12064774685142261,1.5898522859453998,1.843598363578306,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
23,2.091914337106009,145338,0.13353161752263176,2400,-0.15528332559422867,1.503165516341808,1.93186161519896,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
24,2.091914337106009,145338,0.13353161752263176,2500,-0.34954645807110024,1.4796515789641507,1.8354476960511397,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
25,2.091914337106009,145338,0.13353161752263176,2600,-0.010612244513673626,1.4670612664509237,1.8488836188101536,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
26,2.091914337106009,145338,0.13353161752263176,2700,0.09900112542286052,1.5060416633581524,1.8518103239644026,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
27,2.091914337106009,145338,0.13353161752263176,2800,-0.011424566718229556,1.5046948282893495,1.8285350926327164,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
28,2.091914337106009,145338,0.13353161752263176,2900,0.12977976055071427,1.4794089977381797,1.8829327674573548,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
29,2.091914337106009,145338,0.13353161752263176,3000,0.04133044287388565,1.5464859614199815,1.851909089404755,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
30,2.091914337106009,145338,0.13353161752263176,3100,-0.03136026755461236,1.5179765705577903,1.9025656695952988,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
31,2.091914337106009,145338,0.13353161752263176,3200,0.14911052333627184,1.3553063531088638,1.8676754041058827,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
32,2.091914337106009,145338,0.13353161752263176,3300,0.10253957333151714,1.477224117313492,1.8843562709535349,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
33,2.091914337106009,145338,0.13353161752263176,3400,0.01604100183670333,1.5105503128180777,1.911757356492218,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
34,2.091914337106009,145338,0.13353161752263176,3500,-0.17469143990714397,1.4286612950845665,1.9734059854903951,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
35,2.091914337106009,145338,0.13353161752263176,3600,-0.1587569015746741,1.5578026962910134,1.9001082660836266,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
36,2.091914337106009,145338,0.13353161752263176,3700,-0.10165704738187159,1.4810932536635428,1.8629821340018935,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
37,2.091914337106009,145338,0.13353161752263176,3800,-0.05366766235624699,1.4265859940695949,1.8327394962826964,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
38,2.091914337106009,145338,0.13353161752263176,3900,-0.03328227611578033,1.4115369710659698,1.816168168706353,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
39,2.091914337106009,145338,0.13353161752263176,4000,-0.015750567484995235,1.459164955156713,1.8981334038165378,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
40,2.091914337106009,145338,0.13353161752263176,4100,0.020753916319634115,1.536444288468967,1.8896369443030623,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
41,2.091914337106009,145338,0.13353161752263176,4200,0.19343967152072405,1.2855604570226429,1.797281138339345,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
42,2.091914337106009,145338,0.13353161752263176,4300,-0.0475090677119536,1.5386487521856043,1.8550499196341783,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
43,2.091914337106009,145338,0.13353161752263176,4400,-0.03935042746954751,1.4011056571971807,1.8904220860174772,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
44,2.091914337106009,145338,0.13353161752263176,4500,0.17306657886251148,1.426962224390514,1.9432405744735708,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
45,2.091914337106009,145338,0.13353161752263176,4600,-0.16084303785689535,1.4173882518579088,1.8671814730346028,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
46,2.091914337106009,145338,0.13353161752263176,4700,0.010801553587692365,1.408098556405579,1.7773039689110377,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
47,2.091914337106009,145338,0.13353161752263176,4800,-0.3215653919015067,1.5155134452945604,1.774260865085361,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
48,2.091914337106009,145338,0.13353161752263176,4900,0.026613990185150933,1.3873368112560893,1.8262631567530874,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
49,2.091914337106009,145338,0.13353161752263176,5000,-0.16178349894989152,1.5328440941542367,1.9427835880622164,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
50,2.091914337106009,145338,0.13353161752263176,5100,-0.036399766009571295,1.425335680947257,1.7386885845742623,random_search,100,1,42,2.2254459546286407,1000000,100,1000,circle
1,1.8848904728742433,173838,0.3405554817543974,200,-0.14554855640731076,1.4854643549121318,1.8848904728742433,random_search,110,2,42,2.2254459546286407,1000000,100,1000,circle
2,1.8848904728742433,173838,0.3405554817543974,300,0.17098180771901728,1.3983298919965594,1.875503451826914,random_search,110,2,42,2.2254459546286407,1000000,100,1000,circle
3,1.8848904728742433,173838,0.3405554817543974,400,-0.25046729927885936,1.4572387973284806,1.8416381049655688,random_search,110,2,42,2.2254459546286407,1000000,100,1000,circle
4,1.8848904728742433,173838,0.3405554817543974,500,0.00242532473364641,1.5327775780239725,1.8748586380841392,random_search,110,2,42,2.2254459546286407,1000000,100,1000,circle
5,1.8848904728742433,173838,0.3405554817543974,600,0.07475815335798192,1.3745194143462225,1.7644845863506393,random_search,110,2,42,2.2254459546286407,1000000,100,1000,circle
6,1.8848904728742433,173838,0.3405554817543974,700,0.242263236555876,1.4841892758392914,1.8421193648229042,random_search,110,2,42,2.2254459546286407,1000000,100,1000,circle
7,1.8848904728742433,173838,0.3405554817543974,800,0.007133389735373088,1.489929400099826,1.810322621438952,random_search,110,2,42,2.2254459546286407,1000000,100,1000,circle
8,1.8848904728742433,173838,0.3405554817543974,900,0.07044049729276375,1.499795768007879,1.8114766989993836,random_search,110,2,42,2.2254459546286407,1000000,100,1000,circle
