iteration,best_value,best_point,regret,dataset_size,batch_mean,batch_std,batch_max,algorithm,bo_seed,bo_run,data_seed,ground_truth_best,n_nodes,batch_size,retrain_interval,graph_type
1,10.449254784679718,472699,1.52948969815478,200,2.6107404921202066,2.2419858091306617,10.449254784679718,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
2,10.449254784679718,472699,1.52948969815478,300,2.2563269313210745,1.8281182708777575,7.622961786534172,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
3,10.498134804831503,469654,1.4806096780029954,400,2.595281732254744,2.2732733292100624,10.498134804831503,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
4,11.327309117301198,425691,0.6514353655333007,500,2.4583906243666096,2.1700487525387016,11.327309117301198,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
5,11.327309117301198,425691,0.6514353655333007,600,2.0863101970633915,1.8890206383196202,10.807462877889632,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
6,11.327309117301198,425691,0.6514353655333007,700,2.337108308488058,2.0838568694993294,10.9835309258949,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
7,11.327309117301198,425691,0.6514353655333007,800,2.1937597491037426,1.9917654869509387,9.89810665243609,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
8,11.533456176628102,445691,0.4452883062063968,900,2.58181144066859,2.1112375378582566,11.533456176628102,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
9,11.658708064145184,448671,0.3200364186893143,1000,2.143256408234242,2.008134881782076,11.658708064145184,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
10,11.658708064145184,448671,0.3200364186893143,1100,2.3907571370356426,2.35041717078866,10.97841176703094,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
11,11.658708064145184,448671,0.3200364186893143,1200,2.623876464435388,2.4656415949418613,11.092523173971344,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
12,11.658708064145184,448671,0.3200364186893143,1300,2.223574954466157,2.002956521856244,11.296310510216143,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
13,11.658708064145184,448671,0.3200364186893143,1400,2.408904246185395,2.234420953140793,11.628181452377754,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
14,11.658708064145184,448671,0.3200364186893143,1500,2.4919862685150607,2.4614910577876636,11.36912730106586,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
15,11.658708064145184,448671,0.3200364186893143,1600,2.167378753906564,1.7265495703790794,8.576702692237935,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
16,11.658708064145184,448671,0.3200364186893143,1700,2.3109831843596154,1.793672226866908,10.6264126439543,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
17,11.658708064145184,448671,0.3200364186893143,1800,2.4732615488096545,2.415076307733499,11.078755649254452,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
18,11.658708064145184,448671,0.3200364186893143,1900,2.3886752883389972,2.19047742585888,10.718658630337403,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
19,11.658708064145184,448671,0.3200364186893143,2000,1.882342728082356,1.829060430004852,10.949021275586128,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
20,11.658708064145184,448671,0.3200364186893143,2100,2.3537032349848914,2.3033269597584605,10.135240196705446,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
21,11.658708064145184,448671,0.3200364186893143,2200,2.494721238505088,2.0716942148555098,11.249312078134414,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
22,11.658708064145184,448671,0.3200364186893143,2300,2.1885213041404117,2.01433243219404,9.811978508868004,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
23,11.658708064145184,448671,0.3200364186893143,2400,2.4241941408117866,2.4616953755552338,11.423594833548865,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
24,11.658708064145184,448671,0.3200364186893143,2500,2.206560046832509,2.305190732588361,11.187664261245542,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
25,11.658708064145184,448671,0.3200364186893143,2600,2.2870424746284908,1.8136243064193087,8.459912397014428,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
26,11.658708064145184,448671,0.3200364186893143,2700,2.330492644698216,2.077375877346953,9.790073259505307,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
27,11.70835333506585,449671,0.2703911477686489,2800,2.338051933180426,2.1099318405032,11.70835333506585,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
28,11.70835333506585,449671,0.2703911477686489,2900,2.7150922955818872,1.9741762005584442,10.836556107814928,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
29,11.70835333506585,449671,0.2703911477686489,3000,2.5429110215085875,2.2632846358308325,10.792389644993445,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
30,11.70835333506585,449671,0.2703911477686489,3100,2.2021835265201073,2.0027401883384295,10.735069543403165,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
31,11.70835333506585,449671,0.2703911477686489,3200,2.3711315893933196,2.26828747749961,11.16946347231173,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
32,11.70835333506585,449671,0.2703911477686489,3300,2.338225315876534,1.8116140807397607,8.714027775035538,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
33,11.70835333506585,449671,0.2703911477686489,3400,2.250720994796865,2.3401895506714387,10.9950560219435,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
34,11.70835333506585,449671,0.2703911477686489,3500,2.683930065409667,2.505157496179311,10.528764408490842,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
35,11.70835333506585,449671,0.2703911477686489,3600,2.0302439440497095,2.0231396966122244,11.56894521524623,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
36,11.70835333506585,449671,0.2703911477686489,3700,2.599906538353033,2.3929056033069838,11.496334693527505,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
37,11.70835333506585,449671,0.2703911477686489,3800,1.9692493600160657,2.0789887506508338,9.530031810822708,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
38,11.70835333506585,449671,0.2703911477686489,3900,2.4529185416563166,2.0485873493983573,9.515396407205428,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
39,11.70835333506585,449671,0.2703911477686489,4000,2.641575227840651,2.1307676514217815,9.768527105933602,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
40,11.70835333506585,449671,0.2703911477686489,4100,2.5376877921239966,2.0545366242313046,9.317094366680017,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
41,11.70835333506585,449671,0.2703911477686489,4200,2.138361654172587,2.013948905283225,10.615633480581801,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
42,11.70835333506585,449671,0.2703911477686489,4300,1.957304255456131,1.9117559881873798,11.04747089465384,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
43,11.70835333506585,449671,0.2703911477686489,4400,2.18802567654929,2.0575096296536675,10.463154478043633,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
44,11.70835333506585,449671,0.2703911477686489,4500,2.0762956275916036,1.8532066898827966,6.505040249775758,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
45,11.70835333506585,449671,0.2703911477686489,4600,2.5135645574273395,2.293275106447089,11.354353623537827,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
46,11.70835333506585,449671,0.2703911477686489,4700,2.3104378130427197,2.0512980974109207,11.37956976600213,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
47,11.70835333506585,449671,0.2703911477686489,4800,2.329785292471546,2.400274860593054,11.476615302834412,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
48,11.70835333506585,449671,0.2703911477686489,4900,2.27148696167351,2.1775609111408314,11.06346569391576,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
49,11.70835333506585,449671,0.2703911477686489,5000,2.151691227878875,1.820951866224383,9.46462231550455,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
50,11.70835333506585,449671,0.2703911477686489,5100,2.5188892786709656,2.255013252584345,11.570325740608467,random_search,100,1,42,11.978744482834498,1000000,100,1000,grid_multimodal
1,10.552968756791058,439608,1.4257757260434403,200,2.447968176424137,2.2341026959620183,10.552968756791058,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
2,10.552968756791058,439608,1.4257757260434403,300,2.0664976419284913,1.8922733138348464,9.39777808043631,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
3,10.552968756791058,439608,1.4257757260434403,400,2.1006625292521086,2.0078909695128,9.622597373968997,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
4,10.552968756791058,439608,1.4257757260434403,500,2.377460336706013,2.148856575175801,9.053269739493862,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
5,11.65601543795968,435649,0.32272904487481924,600,2.3453851904156178,2.1928860166269994,11.65601543795968,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
6,11.65601543795968,435649,0.32272904487481924,700,2.1856847137312605,1.959428931130603,11.02848954781835,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
7,11.65601543795968,435649,0.32272904487481924,800,2.4158295762772615,1.976768904083394,7.811417190540798,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
8,11.65601543795968,435649,0.32272904487481924,900,2.145137908203003,1.785442325519786,7.395023230095629,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
9,11.65601543795968,435649,0.32272904487481924,1000,2.580227056117491,1.9326991613476383,9.138464502955962,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
10,11.65601543795968,435649,0.32272904487481924,1100,2.5192204944201286,1.7735914891807727,8.176215183165562,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
11,11.65601543795968,435649,0.32272904487481924,1200,2.4901324621033654,2.25588739300062,11.565214978515652,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
12,11.755372882940204,438656,0.22337159989429445,1300,2.7831591198701933,2.250546630517887,11.755372882940204,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
13,11.755372882940204,438656,0.22337159989429445,1400,2.21680085277989,1.7846158890852324,11.419498541006302,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
14,11.755372882940204,438656,0.22337159989429445,1500,2.2894227612084457,2.312825082348241,10.63428230347397,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
15,11.755372882940204,438656,0.22337159989429445,1600,2.0088586551066303,1.8797148137201858,10.13629810174925,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
16,11.755372882940204,438656,0.22337159989429445,1700,2.218260476960518,1.709110227500448,9.529482840364606,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
17,11.755372882940204,438656,0.22337159989429445,1800,2.1190660360954268,1.93923414785627,8.579395220570188,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
18,11.755372882940204,438656,0.22337159989429445,1900,2.1828919464472,2.037767531729225,9.669126784134855,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
19,11.755372882940204,438656,0.22337159989429445,2000,2.2590922787597676,1.7634612703901071,6.431471790146772,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
20,11.755372882940204,438656,0.22337159989429445,2100,2.1598810275082934,2.279857065447464,11.194571911403019,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
21,11.755372882940204,438656,0.22337159989429445,2200,2.1209404364516953,1.9059872951404648,8.967654861264773,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
22,11.755372882940204,438656,0.22337159989429445,2300,2.306589927091785,2.365992587461855,11.258022593789415,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
23,11.755372882940204,438656,0.22337159989429445,2400,2.3652464154299495,2.0687237915121175,10.940005678965038,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
24,11.755372882940204,438656,0.22337159989429445,2500,2.843986309303418,2.5189211142049777,11.402598596189897,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
25,11.755372882940204,438656,0.22337159989429445,2600,2.7173417695925104,2.3308486043162753,11.212457436984634,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
26,11.755372882940204,438656,0.22337159989429445,2700,1.9648194353388737,1.8365794709162275,7.719019171122641,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
27,11.755372882940204,438656,0.22337159989429445,2800,2.3620108566592632,2.55920300792714,11.391907104918353,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
28,11.755372882940204,438656,0.22337159989429445,2900,2.386062813933625,1.9211149896288395,10.730887678011003,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
29,11.755372882940204,438656,0.22337159989429445,3000,1.9584640421331847,2.1126502086169503,11.214461328020846,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
30,11.755372882940204,438656,0.22337159989429445,3100,2.3069381457772162,2.2740081307567883,11.2819830044865,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
31,11.755372882940204,438656,0.22337159989429445,3200,2.3104584989936225,2.3926944077903105,11.459116303544914,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
32,11.755372882940204,438656,0.22337159989429445,3300,2.231671748453343,2.0500148287837026,10.081821487759049,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
33,11.755372882940204,438656,0.22337159989429445,3400,2.4102383544507755,2.180921728675717,10.740792399285342,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
34,11.755372882940204,438656,0.22337159989429445,3500,1.9438383981204785,1.9889292826698983,11.552508454676557,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
35,11.755372882940204,438656,0.22337159989429445,3600,2.4550569014441432,2.089171990054223,10.054500695484595,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
36,11.755372882940204,438656,0.22337159989429445,3700,2.0156703215575074,1.8945528140608834,8.797597683734725,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
37,11.755372882940204,438656,0.22337159989429445,3800,2.794161245209265,2.5550518049840583,11.364743825667759,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
38,11.755372882940204,438656,0.22337159989429445,3900,2.19233105559016,2.134835847147641,11.378807646020705,random_search,110,2,42,11.978744482834498,1000000,100,1000,grid_multimodal
