iteration,best_value,best_point,regret,dataset_size,batch_mean,batch_std,batch_max,algorithm,bo_seed,bo_run,data_seed,ground_truth_best,n_nodes,batch_size,retrain_interval,graph_type
1,11.685232162475586,438664,0.2935123203589125,2000,2.2867492955398623,2.100171522784783,11.400223804556255,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
2,11.685232162475586,438664,0.2935123203589125,3000,2.3734117165707347,2.121784267233418,11.598018210813015,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
3,11.728192948827386,438662,0.25055153400711205,4000,2.263527431351594,2.1017788989125386,11.728192948827386,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
4,11.728192948827386,438662,0.25055153400711205,5000,2.2135062634128397,2.0886267916593773,11.327309117301198,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
5,11.728192948827386,438662,0.25055153400711205,6000,2.329654082119794,2.136825324472377,11.4948161860979,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
6,11.745563107217903,436677,0.2331813756165957,7000,2.153407115543722,2.074294475163878,11.745563107217903,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
7,11.745563107217903,436677,0.2331813756165957,8000,2.2583699066615845,2.088818003491308,11.586374506600784,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
8,11.745563107217903,436677,0.2331813756165957,9000,2.352451944421895,2.108266262144058,11.533456176628102,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
9,11.745563107217903,436677,0.2331813756165957,10000,2.3438923571120167,2.094856617132016,11.658708064145184,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
10,11.745563107217903,436677,0.2331813756165957,11000,2.266950331737007,2.113943670486231,11.44982531437636,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
11,11.745563107217903,436677,0.2331813756165957,12000,2.3056611978383827,2.120667326232325,11.176742933808002,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
12,11.745563107217903,436677,0.2331813756165957,13000,2.3622474470306316,2.2151929643890695,11.540461629065772,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
13,11.745563107217903,436677,0.2331813756165957,14000,2.327101847750102,2.120389712286374,11.690260952843275,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
14,11.745563107217903,436677,0.2331813756165957,15000,2.2995905292180594,2.1157328279631185,11.69033051202964,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
15,11.745563107217903,436677,0.2331813756165957,16000,2.247619271234518,2.026813061659742,11.710665471818649,random_search,100,1,42,11.978744482834498,1000000,1000,10000,grid_multimodal
