iteration,best_value,best_point,regret,dataset_size,batch_mean,batch_std,batch_max,algorithm,bo_seed,bo_run,data_seed,ground_truth_best,n_nodes,batch_size,retrain_interval,graph_type
1,1.3656788342279338,404826,0.3587402575140164,200,-0.043682973021102356,0.6396442322944473,1.3656788342279338,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
2,1.563880248627414,427820,0.16053884311453626,300,0.04712584652429185,0.6058706112886346,1.563880248627414,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
3,1.563880248627414,427820,0.16053884311453626,400,0.02793140845376747,0.5998660845535304,1.341604449582732,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
4,1.563880248627414,427820,0.16053884311453626,500,-0.02108912382151576,0.5805631442140899,1.2983749330189165,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
5,1.563880248627414,427820,0.16053884311453626,600,-0.03988733960999222,0.5792018662466648,1.411173677932164,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
6,1.563880248627414,427820,0.16053884311453626,700,-0.043937774608162596,0.6138619570624773,1.1698824993368129,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
7,1.563880248627414,427820,0.16053884311453626,800,0.0390739547227419,0.5418026545285378,1.2130917268230235,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
8,1.563880248627414,427820,0.16053884311453626,900,-0.15158245546667798,0.6079310635744514,1.4144765762321079,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
9,1.563880248627414,427820,0.16053884311453626,1000,-0.09907260749987595,0.5602638567762064,1.2424339923484655,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
10,1.563880248627414,427820,0.16053884311453626,1100,-0.0215979131926104,0.6391640898543587,1.2738088276910062,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
11,1.563880248627414,427820,0.16053884311453626,1200,0.04601266728952836,0.5881510984849546,1.535216999609712,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
12,1.563880248627414,427820,0.16053884311453626,1300,0.014165062942660818,0.6332517503938905,1.3158256783501532,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
13,1.563880248627414,427820,0.16053884311453626,1400,0.05836533877485135,0.646526489005714,1.4159489300500108,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
14,1.563880248627414,427820,0.16053884311453626,1500,0.05134136964034801,0.5958291207567105,1.1812836300763743,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
15,1.563880248627414,427820,0.16053884311453626,1600,-0.04196623159989498,0.5913048649874977,1.185929752319749,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
16,1.563880248627414,427820,0.16053884311453626,1700,0.14611121731349597,0.635229872411281,1.3442121246228977,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
17,1.563880248627414,427820,0.16053884311453626,1800,0.05371005753380484,0.586997552494155,1.4492120950774983,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
18,1.563880248627414,427820,0.16053884311453626,1900,-0.04319442236493792,0.5705568854190203,1.243168070599884,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
19,1.563880248627414,427820,0.16053884311453626,2000,0.03896943567930673,0.7018086291194435,1.5379025148667615,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
20,1.563880248627414,427820,0.16053884311453626,2100,0.05229376451205501,0.5853751341437109,1.3523838494248583,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
21,1.563880248627414,427820,0.16053884311453626,2200,-0.03294081511967759,0.6156132532386966,1.3806626073704071,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
22,1.563880248627414,427820,0.16053884311453626,2300,-0.06969155221255031,0.5730279965932605,1.3324587483810013,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
23,1.563880248627414,427820,0.16053884311453626,2400,-0.0353774726878377,0.5737983505121838,1.118179419399323,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
24,1.563880248627414,427820,0.16053884311453626,2500,-0.03677735547803812,0.6293443499629944,1.4220690441574517,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
25,1.563880248627414,427820,0.16053884311453626,2600,0.09932888844016693,0.5648629615046449,1.3453836066570277,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
26,1.563880248627414,427820,0.16053884311453626,2700,-0.019471930657300046,0.6197972869175217,1.4375943098279875,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
27,1.5689754976323673,971317,0.15544359410958286,2800,0.02879185575790555,0.6146335448134091,1.5689754976323673,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
28,1.5689754976323673,971317,0.15544359410958286,2900,0.10312245413152756,0.6478898018883968,1.4511873766000714,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
29,1.5689754976323673,971317,0.15544359410958286,3000,0.16969335260264262,0.5068983988784267,1.4411169033135829,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
30,1.5689754976323673,971317,0.15544359410958286,3100,-0.03146066076931833,0.5819491780669658,1.4364460804319203,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
31,1.5689754976323673,971317,0.15544359410958286,3200,-0.10012547662891161,0.5845770603371911,1.353999263336977,random_search,100,1,42,1.7244190917419502,1000000,100,1000,periodic_grid
