n_nodes,seed,n_train,n_test,train_time,inference_time,total_time,test_rmse,noise_variance,modulator_l2
32,42,19,7,2.5428578853607178,0.018327713012695312,2.561185598373413,0.27910415377394443,1.0002366422690548e-06,0.6275244267880157
32,43,19,7,1.586493730545044,0.01464700698852539,1.6011407375335693,0.3195278738822171,1.0080556425693575e-06,0.6927769887553316
32,44,19,7,1.188661813735962,0.014519453048706055,1.203181266784668,0.3429184728869692,1.0010220116817185e-06,0.6372129820046998
32,45,19,7,1.9845855236053467,0.014565706253051758,1.9991512298583984,0.2607650375290367,1.0094756752406393e-06,0.6582633817939701
32,46,19,7,1.4658887386322021,0.021204710006713867,1.487093448638916,0.2935320034567724,1.002980863668649e-06,0.6122692271837836
64,42,38,14,1.757631540298462,0.017866849899291992,1.775498390197754,0.1831184182256246,1.0002475807936506e-06,0.5843558854052129
64,43,38,14,1.5058212280273438,0.025490283966064453,1.5313115119934082,0.1941238284486051,1.0003222757005788e-06,0.5525940715680269
64,44,38,14,1.1831395626068115,0.01471400260925293,1.1978535652160645,0.1533540477324778,1.0321737182715922e-06,0.5515893560924714
64,45,38,14,1.1950862407684326,0.014578580856323242,1.2096648216247559,0.1728598813054527,1.0123129374591019e-06,0.5616533836468777
64,46,38,14,1.3226394653320312,0.014820575714111328,1.3374600410461426,0.15633474097306588,1.0005022196204458e-06,0.5819093777875792
128,42,76,27,1.2929255962371826,0.015010595321655273,1.307936191558838,0.18180810240121517,1.0009741503886192e-06,0.5576690125951148
128,43,76,27,1.2874693870544434,0.01482391357421875,1.302293300628662,0.22733095762643815,1.0003357853156232e-06,0.568759012689028
128,44,76,27,1.3223443031311035,0.015016317367553711,1.3373606204986572,0.23187601740883282,1.0023746615130055e-06,0.5570929823520301
128,45,76,27,1.342482328414917,0.030928373336791992,1.373410701751709,0.18173912607475284,1.0001383865898516e-06,0.539631547379695
128,46,76,27,1.3627498149871826,0.015084505081176758,1.3778343200683594,0.22431820462598967,1.0002457351893347e-06,0.5562260795421552
256,42,153,52,1.0639910697937012,0.015336275100708008,1.0793273448944092,0.2967366232085366,1.427015498508546e-06,0.5550441510702726
256,43,153,52,1.3106184005737305,0.015306472778320312,1.3259248733520508,0.2720814240288674,1.000318834046372e-06,0.5534442624846058
256,44,153,52,1.5276834964752197,0.015245914459228516,1.5429294109344482,0.297703486204196,1.000657556731865e-06,0.5465685814524426
256,45,153,52,1.3706121444702148,0.020940303802490234,1.391552448272705,0.321276582911256,1.0003426045642643e-06,0.5682477854486159
256,46,153,52,1.2746307849884033,0.015214204788208008,1.2898449897766113,0.2748154464433124,1.0004532802781651e-06,0.5652928365742631
512,42,307,103,0.9850008487701416,0.018503665924072266,1.0035045146942139,0.2788857139009157,0.0017642007577639044,0.5958019043649402
512,43,307,103,1.0207653045654297,0.018568754196166992,1.0393340587615967,0.28164975434026635,0.002695919024613599,0.5679055297206911
512,44,307,103,1.0745375156402588,0.01855301856994629,1.093090534210205,0.27592433599924127,0.0015146039395601146,0.5760685726562852
512,45,307,103,1.0604486465454102,0.01837301254272461,1.0788216590881348,0.28119159348040906,0.0007090383339759335,0.5716169681371569
512,46,307,103,0.9864845275878906,0.018372297286987305,1.004856824874878,0.2777190281059479,0.004296165926756735,0.5953586315324365
1024,42,614,206,1.667632818222046,0.035864830017089844,1.7034976482391357,0.24655699886950594,0.0011662209587347144,0.5723661994992303
1024,43,614,206,2.376573324203491,0.04382610321044922,2.4203994274139404,0.2612871661619372,1.0861142133915959e-06,0.574481334513153
1024,44,614,206,2.6572794914245605,0.04930591583251953,2.70658540725708,0.25977294220076674,1.0019438783462677e-06,0.5771995938604653
1024,45,614,206,2.283721685409546,0.048185110092163086,2.331906795501709,0.23831612614702205,1.0063466640414376e-06,0.5633870642420055
1024,46,614,206,1.587010383605957,0.03533458709716797,1.622344970703125,0.2496097366556298,0.0018185936675497692,0.5741268155481157
