n_nodes,n_edges,seed,sparse_rw_time,dense_rw_time,sparse_size_mb,dense_size_mb,sparse_dense_equiv_mb,compression_ratio,time_speedup,sparse_file_size_mb,dense_file_size_mb,sparse_total_nnz,sparse_avg_nnz_per_matrix,graph_sparsity,step_matrix_sparsity,run_dense,is_feasible,has_dense_data
32,32,42,0.3865950107574463,0.10828256607055664,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.2800930251489827,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,43,0.16609597206115723,0.1058204174041748,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.6371040555108181,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,44,0.15541791915893555,0.09311580657958984,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.5991317287189164,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,45,0.1422863006591797,0.1380329132080078,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.9701068378932693,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,46,0.15548920631408691,0.12778735160827637,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.8218406578662892,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
64,64,42,0.2887730598449707,0.21989655494689941,0.0087890625,0.09375,0.09375,10.666666666666666,0.7614856976788348,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,43,0.17311525344848633,0.20348262786865234,0.0087890625,0.09375,0.09375,10.666666666666666,1.1754170924585938,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,44,0.17145347595214844,0.22568106651306152,0.0087890625,0.09375,0.09375,10.666666666666666,1.3162816633478325,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,45,0.16742563247680664,0.22044777870178223,0.0087890625,0.09375,0.09375,10.666666666666666,1.3166907327187234,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,46,0.16386938095092773,0.20325994491577148,0.0087890625,0.09375,0.09375,10.666666666666666,1.2403778163819368,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
128,128,42,0.3006553649902344,0.42398667335510254,0.017578125,0.375,0.375,21.333333333333332,1.4102082408171033,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,43,0.20145559310913086,0.4157733917236328,0.017578125,0.375,0.375,21.333333333333332,2.06384635594805,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,44,0.21525955200195312,0.4235413074493408,0.017578125,0.375,0.375,21.333333333333332,1.9675842651827962,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,45,0.18447637557983398,0.39531660079956055,0.017578125,0.375,0.375,21.333333333333332,2.1429117932148625,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,46,0.1909167766571045,0.4198310375213623,0.017578125,0.375,0.375,21.333333333333332,2.1990264285437764,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
256,256,42,0.37475013732910156,,0.03515625,,1.5,,,0.030029296875,,2304,768.0,0.0078125,0.01171875,False,False,False
256,256,43,0.25719141960144043,,0.03515625,,1.5,,,0.030029296875,,2304,768.0,0.0078125,0.01171875,False,False,False
256,256,44,0.24742627143859863,,0.03515625,,1.5,,,0.030029296875,,2304,768.0,0.0078125,0.01171875,False,False,False
256,256,45,0.24862051010131836,,0.03515625,,1.5,,,0.030029296875,,2304,768.0,0.0078125,0.01171875,False,False,False
256,256,46,0.2499375343322754,,0.03515625,,1.5,,,0.030029296875,,2304,768.0,0.0078125,0.01171875,False,False,False
