n_nodes,n_edges,seed,sparse_rw_time,dense_rw_time,sparse_size_mb,dense_size_mb,sparse_dense_equiv_mb,compression_ratio,time_speedup,sparse_file_size_mb,dense_file_size_mb,sparse_total_nnz,sparse_avg_nnz_per_matrix,graph_sparsity,step_matrix_sparsity,run_dense,is_feasible,has_dense_data
32,32,42,0.23321986198425293,0.15923118591308594,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.6827513941494283,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,43,0.1522970199584961,0.1307070255279541,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.8582375778828392,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,44,0.1591813564300537,0.10536909103393555,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.6619436685114318,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,45,0.13880252838134766,0.10733580589294434,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.7732986361606377,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,46,0.15578269958496094,0.10271978378295898,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.6593786348331803,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
64,64,42,0.21950054168701172,0.19675087928771973,0.0087890625,0.09375,0.09375,10.666666666666666,0.8963571468915508,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,43,0.15251445770263672,0.1965470314025879,0.0087890625,0.09375,0.09375,10.666666666666666,1.28871081708072,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,44,0.1692197322845459,0.19783711433410645,0.0087890625,0.09375,0.09375,10.666666666666666,1.1691137414249062,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,45,0.16774606704711914,0.2000133991241455,0.0087890625,0.09375,0.09375,10.666666666666666,1.1923582033548519,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,46,0.1687304973602295,0.19420599937438965,0.0087890625,0.09375,0.09375,10.666666666666666,1.1509833871927224,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
128,128,42,0.24395108222961426,0.42121410369873047,0.017578125,0.375,0.375,21.333333333333332,1.7266334703211967,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,43,0.1936779022216797,0.39353322982788086,0.017578125,0.375,0.375,21.333333333333332,2.031895354677329,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,44,0.19834232330322266,0.3876800537109375,0.017578125,0.375,0.375,21.333333333333332,1.954600749121297,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,45,0.2026987075805664,0.3940865993499756,0.017578125,0.375,0.375,21.333333333333332,1.9441988755322401,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,46,0.20134353637695312,0.4208712577819824,0.017578125,0.375,0.375,21.333333333333332,2.090314222921127,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
256,256,42,0.2970407009124756,0.8458969593048096,0.03515625,1.5,1.5,42.666666666666664,2.8477476544672475,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
256,256,43,0.25185608863830566,0.8461616039276123,0.03515625,1.5,1.5,42.666666666666664,3.3597027909966384,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
256,256,44,0.24613595008850098,0.7971651554107666,0.03515625,1.5,1.5,42.666666666666664,3.2387189076773906,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
256,256,45,0.2464444637298584,0.7964572906494141,0.03515625,1.5,1.5,42.666666666666664,3.231792179849719,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
256,256,46,0.2642979621887207,0.7733280658721924,0.03515625,1.5,1.5,42.666666666666664,2.925970595717273,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
512,512,42,0.3888895511627197,1.747817039489746,0.0703125,6.0,6.0,85.33333333333333,4.494379019091778,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,43,0.3568546772003174,1.7946596145629883,0.0703125,6.0,6.0,85.33333333333333,5.029104924847521,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,44,0.4063544273376465,1.918370008468628,0.0703125,6.0,6.0,85.33333333333333,4.720928035748022,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,45,0.37590956687927246,1.807283639907837,0.0703125,6.0,6.0,85.33333333333333,4.807761757466168,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,46,0.36894702911376953,1.8045365810394287,0.0703125,6.0,6.0,85.33333333333333,4.891045159989557,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
1024,1024,42,0.5565688610076904,4.022850275039673,0.140625,24.0,24.0,170.66666666666666,7.227947082336119,0.11792850494384766,24.000280380249023,9216,3072.0,0.001953125,0.0029296875,True,True,True
1024,1024,43,0.5718517303466797,4.061988830566406,0.140625,24.0,24.0,170.66666666666666,7.103220319196838,0.11792850494384766,24.000280380249023,9216,3072.0,0.001953125,0.0029296875,True,True,True
1024,1024,44,0.537764310836792,4.058185815811157,0.140625,24.0,24.0,170.66666666666666,7.546402269604668,0.11792850494384766,24.000280380249023,9216,3072.0,0.001953125,0.0029296875,True,True,True
1024,1024,45,0.5521090030670166,4.0350563526153564,0.140625,24.0,24.0,170.66666666666666,7.308441503761476,0.11792850494384766,24.000280380249023,9216,3072.0,0.001953125,0.0029296875,True,True,True
1024,1024,46,0.5564765930175781,4.037979602813721,0.140625,24.0,24.0,170.66666666666666,7.25633324650219,0.11792850494384766,24.000280380249023,9216,3072.0,0.001953125,0.0029296875,True,True,True
2048,2048,42,0.9997005462646484,,0.28125,,96.0,,,0.23513317108154297,,18432,6144.0,0.0009765625,0.00146484375,False,False,False
2048,2048,43,0.9433004856109619,,0.28125,,96.0,,,0.23513317108154297,,18432,6144.0,0.0009765625,0.00146484375,False,False,False
2048,2048,44,0.9502449035644531,,0.28125,,96.0,,,0.23513317108154297,,18432,6144.0,0.0009765625,0.00146484375,False,False,False
2048,2048,45,0.9381463527679443,,0.2812347412109375,,96.0,,,0.2351217269897461,,18431,6143.666666666667,0.0009765625,0.0014647642771402996,False,False,False
