,n_nodes,n_nodes,n_nodes,n_nodes,n_edges,n_edges,n_edges,n_edges,seed,seed,seed,seed,sparse_rw_time,sparse_rw_time,sparse_rw_time,sparse_rw_time,dense_rw_time,dense_rw_time,dense_rw_time,dense_rw_time,sparse_size_mb,sparse_size_mb,sparse_size_mb,sparse_size_mb,dense_size_mb,dense_size_mb,dense_size_mb,dense_size_mb,sparse_dense_equiv_mb,sparse_dense_equiv_mb,sparse_dense_equiv_mb,sparse_dense_equiv_mb,compression_ratio,compression_ratio,compression_ratio,compression_ratio,time_speedup,time_speedup,time_speedup,time_speedup,sparse_file_size_mb,sparse_file_size_mb,sparse_file_size_mb,sparse_file_size_mb,dense_file_size_mb,dense_file_size_mb,dense_file_size_mb,dense_file_size_mb,sparse_total_nnz,sparse_total_nnz,sparse_total_nnz,sparse_total_nnz,sparse_avg_nnz_per_matrix,sparse_avg_nnz_per_matrix,sparse_avg_nnz_per_matrix,sparse_avg_nnz_per_matrix,graph_sparsity,graph_sparsity,graph_sparsity,graph_sparsity,step_matrix_sparsity,step_matrix_sparsity,step_matrix_sparsity,step_matrix_sparsity
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
n_nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.0,0.0,32,32,32.0,0.0,32,32,44.0,1.5811,42,46,0.1679,0.0373,0.1388,0.2332,0.1211,0.0241,0.1027,0.1592,0.0044,0.0,0.0044,0.0044,0.0234,0.0,0.0234,0.0234,0.0234,0.0,0.0234,0.0234,5.3333,0.0,5.3333,5.3333,0.7271,0.0868,0.6594,0.8582,0.0044,0.0,0.0044,0.0044,0.0237,0.0,0.0237,0.0237,288.0,0.0,288,288,96.0,0.0,96.0,96.0,0.0625,0.0,0.0625,0.0625,0.0938,0.0,0.0938,0.0938
64,64.0,0.0,64,64,64.0,0.0,64,64,44.0,1.5811,42,46,0.1755,0.0255,0.1525,0.2195,0.1971,0.0021,0.1942,0.2,0.0088,0.0,0.0088,0.0088,0.0938,0.0,0.0938,0.0938,0.0938,0.0,0.0938,0.0938,10.6667,0.0,10.6667,10.6667,1.1395,0.1459,0.8964,1.2887,0.008,0.0,0.008,0.008,0.094,0.0,0.094,0.094,576.0,0.0,576,576,192.0,0.0,192.0,192.0,0.0312,0.0,0.0312,0.0312,0.0469,0.0,0.0469,0.0469
128,128.0,0.0,128,128,128.0,0.0,128,128,44.0,1.5811,42,46,0.208,0.0204,0.1937,0.244,0.4035,0.0162,0.3877,0.4212,0.0176,0.0,0.0176,0.0176,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,21.3333,0.0,21.3333,21.3333,1.9495,0.1381,1.7266,2.0903,0.0154,0.0,0.0154,0.0154,0.3753,0.0,0.3753,0.3753,1152.0,0.0,1152,1152,384.0,0.0,384.0,384.0,0.0156,0.0,0.0156,0.0156,0.0234,0.0,0.0234,0.0234
256,256.0,0.0,256,256,256.0,0.0,256,256,44.0,1.5811,42,46,0.2612,0.0214,0.2461,0.297,0.8118,0.0327,0.7733,0.8462,0.0352,0.0,0.0352,0.0352,1.5,0.0,1.5,1.5,1.5,0.0,1.5,1.5,42.6667,0.0,42.6667,42.6667,3.1208,0.2213,2.8477,3.3597,0.03,0.0,0.03,0.03,1.5003,0.0,1.5003,1.5003,2304.0,0.0,2304,2304,768.0,0.0,768.0,768.0,0.0078,0.0,0.0078,0.0078,0.0117,0.0,0.0117,0.0117
512,512.0,0.0,512,512,512.0,0.0,512,512,44.0,1.5811,42,46,0.3794,0.019,0.3569,0.4064,1.8145,0.0628,1.7478,1.9184,0.0703,0.0,0.0703,0.0703,6.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,85.3333,0.0,85.3333,85.3333,4.7886,0.1999,4.4944,5.0291,0.0593,0.0,0.0593,0.0593,6.0003,0.0,6.0003,6.0003,4608.0,0.0,4608,4608,1536.0,0.0,1536.0,1536.0,0.0039,0.0,0.0039,0.0039,0.0059,0.0,0.0059,0.0059
1024,1024.0,0.0,1024,1024,1024.0,0.0,1024,1024,44.0,1.5811,42,46,0.555,0.0122,0.5378,0.5719,4.0432,0.0165,4.0229,4.062,0.1406,0.0,0.1406,0.1406,24.0,0.0,24.0,24.0,24.0,0.0,24.0,24.0,170.6667,0.0,170.6667,170.6667,7.2885,0.1627,7.1032,7.5464,0.1179,0.0,0.1179,0.1179,24.0003,0.0,24.0003,24.0003,9216.0,0.0,9216,9216,3072.0,0.0,3072.0,3072.0,0.002,0.0,0.002,0.002,0.0029,0.0,0.0029,0.0029
2048,2048.0,0.0,2048,2048,2048.0,0.0,2048,2048,44.0,1.5811,42,46,0.9561,0.0249,0.9381,0.9997,,,,,0.2812,0.0,0.2812,0.2812,,,,,96.0,0.0,96.0,96.0,,,,,,,,,0.2351,0.0,0.2351,0.2351,,,,,18431.6,0.5477,18431,18432,6143.8667,0.1826,6143.6667,6144.0,0.001,0.0,0.001,0.001,0.0015,0.0,0.0015,0.0015
4096,4096.0,0.0,4096,4096,4096.0,0.0,4096,4096,44.0,1.5811,42,46,1.7673,0.0193,1.7479,1.7989,,,,,0.5625,0.0,0.5625,0.5625,,,,,384.0,0.0,384.0,384.0,,,,,,,,,0.4695,0.0,0.4695,0.4695,,,,,36863.0,1.0,36862,36864,12287.6667,0.3333,12287.3333,12288.0,0.0005,0.0,0.0005,0.0005,0.0007,0.0,0.0007,0.0007
8192,8192.0,0.0,8192,8192,8192.0,0.0,8192,8192,44.0,1.5811,42,46,3.4183,0.0367,3.3984,3.4837,,,,,1.125,0.0,1.125,1.125,,,,,1536.0,0.0,1536.0,1536.0,,,,,,,,,0.9383,0.0,0.9382,0.9383,,,,,73725.8,1.0954,73725,73727,24575.2667,0.3651,24575.0,24575.6667,0.0002,0.0,0.0002,0.0002,0.0004,0.0,0.0004,0.0004
16384,16384.0,0.0,16384,16384,16384.0,0.0,16384,16384,44.0,1.5811,42,46,6.7638,0.0524,6.6933,6.841,,,,,2.2499,0.0,2.2499,2.25,,,,,6144.0,0.0,6144.0,6144.0,,,,,,,,,1.8758,0.0,1.8758,1.8758,,,,,147452.6,0.8944,147452,147454,49150.8667,0.2981,49150.6667,49151.3333,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0002,0.0002
32768,32768.0,0.0,32768,32768,32768.0,0.0,32768,32768,44.0,1.5811,42,46,13.297,0.0496,13.2393,13.3513,,,,,4.4999,0.0,4.4999,4.4999,,,,,24576.0,0.0,24576.0,24576.0,,,,,,,,,3.7507,0.0,3.7507,3.7507,,,,,294905.2,0.8367,294904,294906,98301.7333,0.2789,98301.3333,98302.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0001
65536,65536.0,0.0,65536,65536,65536.0,0.0,65536,65536,44.0,1.5811,42,46,26.5688,0.0633,26.4748,26.6521,,,,,8.9998,0.0,8.9998,8.9998,,,,,98304.0,0.0,98304.0,98304.0,,,,,,,,,7.5007,0.0,7.5007,7.5007,,,,,589809.2,1.0954,589808,589810,196603.0667,0.3651,196602.6667,196603.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131072,131072.0,0.0,131072,131072,131072.0,0.0,131072,131072,44.0,1.5811,42,46,53.0125,0.1559,52.8172,53.181,,,,,17.9997,0.0,17.9996,17.9997,,,,,393216.0,0.0,393216.0,393216.0,,,,,,,,,15.0006,0.0,15.0005,15.0006,,,,,1179625.2,2.1679,1179622,1179628,393208.4,0.7226,393207.3333,393209.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262144,262144.0,0.0,262144,262144,262144.0,0.0,262144,262144,44.0,1.5811,42,46,105.9009,0.5142,105.3491,106.4532,,,,,35.9994,0.0,35.9994,35.9995,,,,,1572864.0,0.0,1572864.0,1572864.0,,,,,,,,,30.0004,0.0,30.0004,30.0004,,,,,2359256.2,2.3875,2359254,2359260,786418.7333,0.7958,786418.0,786420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524288,524288.0,0.0,524288,524288,524288.0,0.0,524288,524288,44.0,1.5811,42,46,212.6714,0.7579,211.7418,213.5933,,,,,71.9988,0.0001,71.9987,71.9989,,,,,6291456.0,0.0,6291456.0,6291456.0,,,,,,,,,59.9999,0.0001,59.9999,60.0,,,,,4718513.0,4.7434,4718506,4718519,1572837.6667,1.5811,1572835.3333,1572839.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048576,1048576.0,0.0,1048576,1048576,1048576.0,0.0,1048576,1048576,44.0,1.5811,42,46,426.0738,1.5615,424.1918,428.3705,,,,,143.9974,0.0002,143.9972,143.9977,,,,,25165824.0,0.0,25165824.0,25165824.0,,,,,,,,,119.9989,0.0001,119.9987,119.9991,,,,,9437016.6,12.4619,9437001,9437034,3145672.2,4.154,3145667.0,3145678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
