n_nodes,seed,n_train,n_test,train_time,inference_time,total_time,test_rmse,noise_variance,modulator_l2
32,42,19,7,4.440011262893677,0.06665587425231934,4.506667137145996,1.0799407958984375,0.1385391652584076,1.9442008
32,43,19,7,3.6803407669067383,0.059173583984375,3.7395143508911133,1.0012073516845703,0.2815741002559662,1.7857537
32,44,19,7,4.165141582489014,0.07608437538146973,4.241225957870483,0.7183942198753357,0.016545254737138748,2.5784523
32,45,19,7,3.872647523880005,0.06371045112609863,3.9363579750061035,0.7706103324890137,0.12761235237121582,2.1709805
32,46,19,7,3.9130992889404297,0.06956887245178223,3.982668161392212,0.5992898941040039,0.024862533435225487,2.419767
64,42,38,14,2.932894706726074,0.053804636001586914,2.986699342727661,0.5846684575080872,0.2428969442844391,2.2767518
64,43,38,14,3.080474376678467,0.06135702133178711,3.141831398010254,0.5635559558868408,0.10074923932552338,2.5037947
64,44,38,14,3.0640347003936768,0.06148815155029297,3.1255228519439697,0.5677517652511597,0.07325892150402069,2.7956202
64,45,38,14,2.9116480350494385,0.053392648696899414,2.965040683746338,0.5796162486076355,0.22812321782112122,2.8698843
64,46,38,14,2.9162752628326416,0.05286240577697754,2.969137668609619,0.6765208840370178,0.4244566261768341,2.6063223
128,42,76,27,2.9229986667633057,0.05327725410461426,2.97627592086792,0.5388874411582947,0.7593679428100586,2.9562523
128,43,76,27,3.058711528778076,0.06187748908996582,3.120589017868042,0.4638731777667999,0.057950492948293686,2.4575465
128,44,76,27,3.36802077293396,0.05997419357299805,3.427994966506958,0.442861407995224,0.5514875054359436,3.0251715
128,45,76,27,4.126069068908691,0.07849669456481934,4.204565763473511,0.48777973651885986,0.03779122233390808,2.788634
128,46,76,27,3.2423224449157715,0.0558624267578125,3.298184871673584,0.5778616070747375,0.08301340043544769,2.0355916
256,42,153,52,2.9685544967651367,0.05376625061035156,3.0223207473754883,0.7041851282119751,0.4118525981903076,2.7781212
256,43,153,52,3.509169816970825,0.06511783599853516,3.5742876529693604,0.6173589825630188,0.058819934725761414,2.2937386
256,44,153,52,3.4448909759521484,0.07089495658874512,3.5157859325408936,0.6394961476325989,0.030172966420650482,2.3620932
256,45,153,52,3.8459813594818115,0.08274054527282715,3.9287219047546387,0.6753362417221069,0.014637389220297337,2.491182
256,46,153,52,3.6106016635894775,0.0788431167602539,3.6894447803497314,0.6497446894645691,0.029792524874210358,2.547821
512,42,307,103,5.363682270050049,0.10150718688964844,5.465189456939697,0.5363518595695496,0.01708836294710636,2.5911636
512,43,307,103,4.22905158996582,0.08683276176452637,4.315884351730347,0.5711482763290405,0.03503786399960518,2.9358056
512,44,307,103,3.0676639080047607,0.06009650230407715,3.127760410308838,0.543172299861908,0.08026988059282303,2.1670241
512,45,307,103,3.1356561183929443,0.05505108833312988,3.190707206726074,0.7457887530326843,0.43229684233665466,1.8958172
512,46,307,103,2.9824562072753906,0.05411982536315918,3.03657603263855,0.5996723175048828,0.6413611173629761,2.9238107
1024,42,614,206,3.05039381980896,0.0548710823059082,3.105264902114868,0.7129052877426147,0.6042277812957764,2.318344
1024,43,614,206,3.0161259174346924,0.06064772605895996,3.0767736434936523,0.559882402420044,0.1890687197446823,2.8000505
1024,44,614,206,3.4283559322357178,0.07853555679321289,3.5068914890289307,0.5568798184394836,0.038842830806970596,2.562668
1024,45,614,206,4.10031270980835,0.07812333106994629,4.178436040878296,0.5462921261787415,0.02914985828101635,2.5029767
1024,46,614,206,4.021978855133057,0.08979964256286621,4.111778497695923,0.540360152721405,0.014665424823760986,2.5688183
2048,42,1228,411,3.698918342590332,0.08490252494812012,3.783820867538452,0.5505232214927673,0.04143136367201805,2.8360302
2048,43,1228,411,3.196732997894287,0.07714366912841797,3.273876667022705,0.5959075689315796,0.10754841566085815,3.0805998
2048,44,1228,411,3.253998279571533,0.0643305778503418,3.318328857421875,0.6360684037208557,0.060375042259693146,2.012211
2048,45,1228,411,3.628563404083252,0.08475995063781738,3.7133233547210693,0.558203399181366,0.04422088712453842,2.8121746
2048,46,1228,411,3.2065646648406982,0.06532645225524902,3.2718911170959473,0.5862915515899658,0.16526930034160614,2.5508242
4096,42,2457,820,3.727902889251709,0.09104299545288086,3.81894588470459,0.570410966873169,0.03328415006399155,2.7924874
4096,43,2457,820,3.279996633529663,0.07941436767578125,3.3594110012054443,0.5313034653663635,0.06065025553107262,2.5120656
4096,44,2457,820,3.0836803913116455,0.06279563903808594,3.1464760303497314,0.6015574336051941,0.2867758870124817,3.0892951
4096,45,2457,820,3.1141090393066406,0.0580291748046875,3.172138214111328,0.6308965086936951,0.147334486246109,2.1122036
4096,46,2457,820,3.1320974826812744,0.05792570114135742,3.190023183822632,0.6097387075424194,0.393410861492157,3.1172447
8192,42,4915,1639,3.318791151046753,0.06923151016235352,3.3880226612091064,0.5975430607795715,0.15791526436805725,2.7410185
8192,43,4915,1639,3.6709330081939697,0.0795583724975586,3.7504913806915283,0.6036390066146851,0.051398973912000656,2.343299
8192,44,4915,1639,3.445817470550537,0.07265377044677734,3.5184712409973145,0.6118317246437073,0.15080536901950836,2.765715
8192,45,4915,1639,3.302309989929199,0.05962038040161133,3.3619303703308105,1.020993947982788,0.8558390140533447,1.6189067
8192,46,4915,1639,3.603926181793213,0.07378149032592773,3.6777076721191406,0.6302642822265625,0.05618130788207054,2.0873926
