n_nodes,seed,n_train,n_test,train_time,inference_time,total_time,test_rmse,noise_variance,modulator_l2
32,42,19,7,4.2930908203125,0.06810903549194336,4.361199855804443,1.0799407958984375,0.1385391652584076,1.9442008
32,43,19,7,3.9445881843566895,0.060144901275634766,4.004733085632324,1.0012073516845703,0.2815741002559662,1.7857537
32,44,19,7,4.372254848480225,0.07620549201965332,4.448460340499878,0.7183942198753357,0.016545254737138748,2.5784523
32,45,19,7,3.8925561904907227,0.058844566345214844,3.9514007568359375,0.7706103324890137,0.12761235237121582,2.1709805
32,46,19,7,4.012066841125488,0.06504321098327637,4.077110052108765,0.5992898941040039,0.024862533435225487,2.419767
64,42,38,14,3.791785717010498,0.05944705009460449,3.8512327671051025,0.5846684575080872,0.2428969442844391,2.2767518
64,43,38,14,3.939730644226074,0.058240413665771484,3.9979710578918457,0.5635559558868408,0.10074923932552338,2.5037947
64,44,38,14,3.988213300704956,0.0743265151977539,4.06253981590271,0.5677517652511597,0.07325892150402069,2.7956202
64,45,38,14,3.6733386516571045,0.05809426307678223,3.7314329147338867,0.5796162486076355,0.22812321782112122,2.8698843
64,46,38,14,3.723270893096924,0.05526137351989746,3.7785322666168213,0.6765208840370178,0.4244566261768341,2.6063223
128,42,76,27,3.8713319301605225,0.058997154235839844,3.9303290843963623,0.5388874411582947,0.7593679428100586,2.9562523
128,43,76,27,4.018579483032227,0.07461190223693848,4.093191385269165,0.4638731777667999,0.057950492948293686,2.4575465
128,44,76,27,3.8520359992980957,0.06075286865234375,3.9127888679504395,0.442861407995224,0.5514875054359436,3.0251715
128,45,76,27,4.31095290184021,0.07387518882751465,4.384828090667725,0.48777973651885986,0.03779122233390808,2.788634
128,46,76,27,4.12736701965332,0.06393909454345703,4.191306114196777,0.5778616070747375,0.08301340043544769,2.0355916
256,42,153,52,4.0305585861206055,0.06757688522338867,4.098135471343994,0.7041851282119751,0.4118525981903076,2.7781212
256,43,153,52,4.060469627380371,0.0711207389831543,4.131590366363525,0.6173589825630188,0.058819934725761414,2.2937386
256,44,153,52,4.4134063720703125,0.08323335647583008,4.496639728546143,0.6394961476325989,0.030172966420650482,2.3620932
256,45,153,52,4.886902093887329,0.08724451065063477,4.974146604537964,0.6753362417221069,0.014637389220297337,2.491182
256,46,153,52,4.452334642410278,0.0834646224975586,4.535799264907837,0.6497446894645691,0.029792524874210358,2.547821
512,42,307,103,5.32097053527832,0.10315799713134766,5.424128532409668,0.5363518595695496,0.01708836294710636,2.5911636
512,43,307,103,4.731873512268066,0.09184789657592773,4.823721408843994,0.5711482763290405,0.03503786399960518,2.9358056
512,44,307,103,3.960684061050415,0.06825423240661621,4.028938293457031,0.543172299861908,0.08026988059282303,2.1670241
512,45,307,103,4.099398612976074,0.06343317031860352,4.162831783294678,0.7457887530326843,0.43229684233665466,1.8958172
512,46,307,103,3.8595893383026123,0.05988812446594238,3.9194774627685547,0.5996723175048828,0.6413611173629761,2.9238107
1024,42,614,206,3.959120988845825,0.06419825553894043,4.023319244384766,0.7129052877426147,0.6042277812957764,2.318344
1024,43,614,206,4.003771543502808,0.0709085464477539,4.0746800899505615,0.559882402420044,0.1890687197446823,2.8000505
1024,44,614,206,4.458983659744263,0.08686566352844238,4.545849323272705,0.5568798184394836,0.038842830806970596,2.562668
1024,45,614,206,5.209376335144043,0.08829092979431152,5.2976672649383545,0.5462921261787415,0.02914985828101635,2.5029767
1024,46,614,206,5.111612558364868,0.09961891174316406,5.211231470108032,0.540360152721405,0.014665424823760986,2.5688183
2048,42,1228,411,4.776756525039673,0.09373092651367188,4.870487451553345,0.5505232214927673,0.04143136367201805,2.8360302
2048,43,1228,411,4.241865634918213,0.08182477951049805,4.323690414428711,0.5959075689315796,0.10754841566085815,3.0805998
2048,44,1228,411,4.28079891204834,0.07494330406188965,4.3557422161102295,0.6360684037208557,0.060375042259693146,2.012211
2048,45,1228,411,4.729996919631958,0.0950167179107666,4.825013637542725,0.558203399181366,0.04422088712453842,2.8121746
2048,46,1228,411,4.052302122116089,0.06618857383728027,4.118490695953369,0.5862915515899658,0.16526930034160614,2.5508242
4096,42,2457,820,4.619247674942017,0.0997014045715332,4.71894907951355,0.570410966873169,0.03328415006399155,2.7924874
4096,43,2457,820,4.112542390823364,0.0867929458618164,4.199335336685181,0.5313034653663635,0.06065025553107262,2.5120656
4096,44,2457,820,3.9820291996002197,0.06925725936889648,4.051286458969116,0.6015574336051941,0.2867758870124817,3.0892951
4096,45,2457,820,4.16828465461731,0.06942939758300781,4.237714052200317,0.6308965086936951,0.147334486246109,2.1122036
4096,46,2457,820,4.04459023475647,0.06463289260864258,4.109223127365112,0.6097387075424194,0.393410861492157,3.1172447
8192,42,4915,1639,4.041626691818237,0.07450342178344727,4.116130113601685,0.5975430607795715,0.15791526436805725,2.7410185
8192,43,4915,1639,4.372388124465942,0.08444952964782715,4.4568376541137695,0.6036390066146851,0.051398973912000656,2.343299
8192,44,4915,1639,4.227975368499756,0.07429385185241699,4.302269220352173,0.6118317246437073,0.15080536901950836,2.765715
8192,45,4915,1639,4.200536251068115,0.06942486763000488,4.26996111869812,1.020993947982788,0.8558390140533447,1.6189067
8192,46,4915,1639,4.392721891403198,0.07762575149536133,4.47034764289856,0.6302642822265625,0.05618130788207054,2.0873926
16384,42,9830,3278,5.899116516113281,0.11778569221496582,6.016902208328247,0.5903764963150024,0.03259940817952156,2.771867
16384,43,9830,3278,4.443638801574707,0.07567095756530762,4.519309759140015,0.8089761734008789,0.638740062713623,1.9198085
16384,44,9830,3278,5.106714963912964,0.10710668563842773,5.213821649551392,0.5941197276115417,0.052614953368902206,2.8396714
16384,45,9830,3278,5.0404579639434814,0.10059905052185059,5.141057014465332,0.5801142454147339,0.07445334643125534,2.9201937
16384,46,9830,3278,5.097491979598999,0.09863543510437012,5.196127414703369,0.5954738259315491,0.07901795953512192,2.873121
32768,42,19660,6555,6.691267013549805,0.15250325202941895,6.843770265579224,0.6027991771697998,0.037671320140361786,2.6897542
32768,43,19660,6555,5.790894985198975,0.09224581718444824,5.883140802383423,0.6478691101074219,0.2170477658510208,2.1705015
32768,44,19660,6555,8.382714033126831,0.18640518188476562,8.569119215011597,0.6146056056022644,0.01561596430838108,2.5200827
32768,45,19660,6555,6.350627899169922,0.09802603721618652,6.448653936386108,0.7381827235221863,0.1075000911951065,1.9970386
32768,46,19660,6555,5.8996500968933105,0.11700916290283203,6.016659259796143,0.618939995765686,0.07816767692565918,2.2534091
65536,42,39321,13108,14.051139116287231,0.32570910453796387,14.376848220825195,0.6237245202064514,0.07714910805225372,3.3250337
65536,43,39321,13108,12.184118032455444,0.2558455467224121,12.439963579177856,0.6142153143882751,0.12764137983322144,2.67769
