,n_nodes,n_nodes,n_nodes,n_nodes,seed,seed,seed,seed,n_train,n_train,n_train,n_train,n_test,n_test,n_test,n_test,train_time,train_time,train_time,train_time,inference_time,inference_time,inference_time,inference_time,total_time,total_time,total_time,total_time,test_rmse,test_rmse,test_rmse,test_rmse,noise_variance,noise_variance,noise_variance,noise_variance,modulator_l2,modulator_l2,modulator_l2,modulator_l2
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
n_nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.0,0.0,32,32,44.0,1.5811,42,46,19.0,0.0,19,19,7.0,0.0,7,7,4.1029,0.2158,3.8926,4.3723,0.0657,0.007,0.0588,0.0762,4.1686,0.2224,3.9514,4.4485,0.8339,0.2006,0.5993,1.0799,0.1178,0.1075,0.0165,0.2816,2.1798,0.3269,1.7858,2.5785
64,64.0,0.0,64,64,44.0,1.5811,42,46,38.0,0.0,38,38,14.0,0.0,14,14,3.8233,0.1362,3.6733,3.9882,0.0611,0.0076,0.0553,0.0743,3.8843,0.1417,3.7314,4.0625,0.5944,0.0467,0.5636,0.6765,0.2139,0.1396,0.0733,0.4245,2.6105,0.2368,2.2768,2.8699
128,128.0,0.0,128,128,44.0,1.5811,42,46,76.0,0.0,76,76,27.0,0.0,27,27,4.0361,0.1905,3.852,4.311,0.0664,0.0073,0.059,0.0746,4.1025,0.1958,3.9128,4.3848,0.5023,0.0554,0.4429,0.5779,0.2979,0.3349,0.0378,0.7594,2.6526,0.4087,2.0356,3.0252
256,256.0,0.0,256,256,44.0,1.5811,42,46,153.0,0.0,153,153,52.0,0.0,52,52,4.3687,0.3489,4.0306,4.8869,0.0785,0.0086,0.0676,0.0872,4.4473,0.3569,4.0981,4.9741,0.6572,0.0335,0.6174,0.7042,0.1091,0.17,0.0146,0.4119,2.4946,0.1878,2.2937,2.7781
512,512.0,0.0,512,512,44.0,1.5811,42,46,307.0,0.0,307,307,103.0,0.0,103,103,4.3945,0.6192,3.8596,5.321,0.0773,0.0191,0.0599,0.1032,4.4718,0.6379,3.9195,5.4241,0.5992,0.0857,0.5364,0.7458,0.2412,0.2807,0.0171,0.6414,2.5027,0.462,1.8958,2.9358
1024,1024.0,0.0,1024,1024,44.0,1.5811,42,46,614.0,0.0,614,614,206.0,0.0,206,206,4.5486,0.5929,3.9591,5.2094,0.082,0.0143,0.0642,0.0996,4.6305,0.6056,4.0233,5.2977,0.5833,0.0729,0.5404,0.7129,0.1752,0.25,0.0147,0.6042,2.5506,0.1724,2.3183,2.8001
2048,2048.0,0.0,2048,2048,44.0,1.5811,42,46,1228.0,0.0,1228,1228,411.0,0.0,411,411,4.4163,0.32,4.0523,4.7768,0.0823,0.0123,0.0662,0.095,4.4987,0.3318,4.1185,4.8705,0.5854,0.034,0.5505,0.6361,0.0838,0.0527,0.0414,0.1653,2.6584,0.407,2.0122,3.0806
4096,4096.0,0.0,4096,4096,44.0,1.5811,42,46,2457.0,0.0,2457,2457,820.0,0.0,820,820,4.1853,0.2525,3.982,4.6192,0.078,0.0148,0.0646,0.0997,4.2633,0.2651,4.0513,4.7189,0.5888,0.0388,0.5313,0.6309,0.1843,0.153,0.0333,0.3934,2.7247,0.4219,2.1122,3.1172
