seed,model,wpn,lml,mse
100,Diffusion,,22.54957456067972,0.0665972030699763
100,GRF,512.0,15.02860940999227,0.0532620411410773
100,GRF-ablation,512.0,-85.37523493534799,0.0361547132647521
100,GRF,1024.0,21.13768549764795,0.0521192476771385
100,GRF-ablation,1024.0,-83.91962697744844,0.0361533029866313
100,GRF,2048.0,19.602404981422808,0.0513472610931551
100,GRF-ablation,2048.0,-82.09844895589661,0.0361556940850635
100,GRF,4096.0,19.68959569540266,0.0604904298835171
100,GRF-ablation,4096.0,-80.62154565455977,0.0361597311319689
100,GRF,8192.0,21.638826819383667,0.0570243897227649
100,GRF-ablation,8192.0,-78.97979772156437,0.0361665923675921
101,Diffusion,,24.88112030130715,0.0514764694317583
101,GRF,512.0,26.31853872978462,0.0400446553777934
101,GRF-ablation,512.0,-84.58689084441573,0.0372885925630927
101,GRF,1024.0,24.794213777406966,0.0458538225255633
101,GRF-ablation,1024.0,19.451184249346497,0.0468743386536889
101,GRF,2048.0,28.6862057089746,0.0432322264443498
101,GRF-ablation,2048.0,-80.99580678333517,0.037281136694691
101,GRF,4096.0,30.049558541716607,0.0495321167798488
101,GRF-ablation,4096.0,-79.27840696905079,0.0372863260323797
101,GRF,8192.0,27.79730698423819,0.0521850814644616
101,GRF-ablation,8192.0,20.50232075170277,0.0502171384563233
102,Diffusion,,25.32738696401435,0.054398696165711
102,GRF,512.0,25.026741749419894,0.0426915504506361
102,GRF-ablation,512.0,-84.65758761922005,0.0376792629352428
102,GRF,1024.0,29.330847676699577,0.0423287776197781
102,GRF-ablation,1024.0,-120.06162168686016,0.0391770530497933
102,GRF,2048.0,26.770093397897583,0.0455362499023526
102,GRF-ablation,2048.0,30.21884209086465,0.0459125885543678
102,GRF,4096.0,24.73898068914869,0.0415518468394036
102,GRF-ablation,4096.0,-79.16287263999911,0.037674646159537
102,GRF,8192.0,27.121637630716805,0.0428889809613755
102,GRF-ablation,8192.0,-77.59855033004445,0.0376793974895245
