seed,model,walks_per_node,lml,rmse,nlpd,variance
1114,A-GRF,1,-353.60635080778144,17.08397465579246,108.72225209051922,0.7816857629870757
1114,A-GRF,2,-352.2049594244342,16.916297215329102,112.64181260862904,0.011380122291147156
1114,A-GRF,4,-353.4553059641414,16.984992484411865,109.72836173266404,0.0103758391972322
1114,A-GRF,8,-350.5283157600691,16.813936982263407,113.0936250502702,0.5940242307667112
1114,A-GRF,16,-348.0010638325816,17.03869107866216,111.01516191125344,3.3860042082176996e-06
1114,A-GRF,32,-347.5267479742611,16.54614741770891,115.8899814800827,0.4323806711709018
1114,A-GRF,64,-348.48214805527846,16.56502693343857,111.63512404232341,0.3610680465711075
1114,A-GRF,128,-344.2544408456131,15.992571198830502,114.13446980268581,0.18100670198131188
1114,A-GRF,256,-342.08938974784326,15.709011884480041,112.26201923442594,0.34161082201044735
1114,A-GRF,512,-341.0113722062085,15.743560354738133,117.8450609576296,0.26376523790544465
1114,A-GRF,1024,-337.23967023527706,15.870777419913994,222.43343133305703,0.04106876435863298
1114,A-GRF,2048,-342.68793844769755,15.690449578223172,107.33789640320096,0.010076836318164556
1114,A-GRF,4096,-335.41458841062024,15.257712437052318,121.73934563509202,0.14944481813574725
1114,A-GRF,8192,-336.2579638249226,14.950932376372169,113.84257966798619,0.18984753443127553
