N,repeat,cond,iterations
16,0,325.66974,9
16,1,2.5256426,2
16,2,33.43092,5
16,3,6.1258535,3
16,4,542.2821,20
32,0,357.8911,21
32,1,2.8451123,3
32,2,34.51559,9
32,3,7.877156,5
32,4,944.28815,32
64,0,383.79822,34
64,1,2.8501837,3
64,2,34.997734,12
64,3,7.4979005,5
64,4,1045.062,43
128,0,427.69186,48
128,1,2.8550386,3
128,2,34.89887,14
128,3,8.280971,6
128,4,1154.408,58
256,0,429.09073,52
256,1,2.9026804,3
256,2,34.89414,14
256,3,8.327923,6
256,4,1157.8477,87
512,0,432.07666,56
512,1,3.2112448,3
512,2,35.20601,15
512,3,8.300626,6
512,4,1163.6605,96
1024,0,433.35803,56
1024,1,3.111843,3
1024,2,34.981514,14
1024,3,8.274787,6
1024,4,1177.716,97
