N,repeat,cond,iterations
2,0,141.67422485351562,2
2,1,1.1704304218292236,2
2,2,3227.359130859375,2
2,3,11.95227336883545,2
2,4,381.6043701171875,2
2,5,14.579134941101074,2
2,6,397.1555480957031,2
2,7,1547.2227783203125,2
2,8,210.11227416992188,2
2,9,8720.3955078125,2
4,0,474.4866027832031,3
4,1,21.876991271972656,3
4,2,209.65542602539062,3
4,3,30.330669403076172,3
4,4,70.80370330810547,3
4,5,1.0,2
4,6,603.584228515625,4
4,7,367.5526123046875,3
4,8,127.56629180908203,3
4,9,24963.78515625,4
8,0,230.60093688964844,2
8,1,69.23872375488281,7
8,2,913.3672485351562,8
8,3,499.16485595703125,7
8,4,16433.04296875,12
8,5,7.035315036773682,5
8,6,293.1654357910156,4
8,7,20290.0703125,11
8,8,3611.125732421875,10
8,9,11188.0458984375,12
16,0,31930.181640625,22
16,1,49.39824295043945,11
16,2,3503.490234375,19
16,3,236.05401611328125,10
16,4,68316.046875,29
16,5,24.539777755737305,7
16,6,775.4610595703125,20
16,7,37184.2421875,32
16,8,3625.326171875,28
16,9,3951.84228515625,26
32,0,32177.81640625,69
32,1,288.50537109375,29
32,2,3746.5634765625,53
32,3,576.3631591796875,19
32,4,73947.1875,110
32,5,213.7321319580078,20
32,6,68689.078125,66
32,7,47123.34765625,81
32,8,4611.46435546875,40
32,9,55558.015625,100
64,0,32837.45703125,189
64,1,382.4903259277344,39
64,2,3474.59521484375,92
64,3,672.9827880859375,41
64,4,77718.6796875,211
64,5,174.1362762451172,20
64,6,6525.63720703125,99
64,7,44815.375,242
64,8,5436.37158203125,112
64,9,52690.9609375,237
128,0,43397.71875,263
128,1,529.010986328125,41
128,2,3728.509521484375,127
128,3,671.736328125,49
128,4,82962.1484375,447
128,5,86.10359954833984,20
128,6,10626.1943359375,170
128,7,56224.30078125,429
128,8,5366.37451171875,165
128,9,70587.15625,522
256,0,44947.23046875,416
256,1,452.7442932128906,47
256,2,4792.0615234375,153
256,3,739.5389404296875,62
256,4,115137.0859375,709
256,5,225.72682189941406,27
256,6,7172.08544921875,168
256,7,56922.25,507
256,8,5360.42822265625,169
256,9,72654.109375,663
512,0,44371.71875,496
512,1,645.335693359375,52
512,2,3803.77001953125,157
512,3,788.4464111328125,67
512,4,122368.515625,832
512,5,258.6978454589844,32
512,6,89893.859375,464
512,7,58535.23046875,640
512,8,5581.25537109375,211
512,9,75013.1015625,760
1024,0,53101.39453125,575
1024,1,689.2730102539062,59
1024,2,5327.83837890625,183
1024,3,781.2764892578125,69
1024,4,122261.8828125,914
1024,5,857.784423828125,42
1024,6,97022.3671875,634
1024,7,58864.99609375,665
1024,8,7161.71240234375,222
1024,9,78921.6953125,832
2048,0,,609
2048,1,,68
2048,2,,201
2048,3,,71
2048,4,,986
2048,5,,50
2048,6,,684
2048,7,,738
2048,8,,218
2048,9,,868
4096,0,,625
4096,1,,77
4096,2,,200
4096,3,,71
4096,4,,1071
4096,5,,44
4096,6,,821
4096,7,,782
4096,8,,223
4096,9,,868
8192,0,,619
8192,1,,81
8192,2,,247
8192,3,,73
8192,4,,1046
8192,5,,54
8192,6,,846
8192,7,,753
8192,8,,249
8192,9,,914
16384,0,,641
16384,1,,102
16384,2,,320
16384,3,,72
16384,4,,1069
16384,5,,57
16384,6,,823
16384,7,,755
16384,8,,245
16384,9,,919
32768,0,,628
32768,1,,89
32768,2,,323
32768,3,,77
32768,4,,1052
32768,5,,63
32768,6,,828
32768,7,,815
32768,8,,269
32768,9,,961
