iteration,best_value,best_point,regret,dataset_size,batch_mean,batch_std,batch_max,algorithm,bo_seed,bo_run,data_seed,ground_truth_best,n_nodes,batch_size,retrain_interval,graph_type
1,19.1167049407959,995954,0.292558952593172,200,10.05868362921967,4.064479392195733,19.00121644232375,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
2,19.1167049407959,995954,0.292558952593172,300,9.600798175228196,4.342876256292664,18.87984661922906,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
3,19.1167049407959,995954,0.292558952593172,400,9.618227126293792,4.075504354258271,18.000061233789292,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
4,19.1167049407959,995954,0.292558952593172,500,9.474947092775817,4.254356988349538,18.040373373778884,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
5,19.1167049407959,995954,0.292558952593172,600,9.455418490705672,4.262207256100171,19.0587833285976,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
6,19.1167049407959,995954,0.292558952593172,700,9.201101304218612,4.12910482673115,18.118757805288876,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
7,19.1167049407959,995954,0.292558952593172,800,9.589008410370663,4.564506067993039,19.047788246145892,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
8,19.1167049407959,995954,0.292558952593172,900,9.14931325259499,4.011968465425247,18.914525899401077,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
9,19.1167049407959,995954,0.292558952593172,1000,9.382586690567704,3.9988491523560965,19.07707048689526,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
10,19.1167049407959,995954,0.292558952593172,1100,9.520328480084851,4.230201216196331,18.1957484064694,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
11,19.1167049407959,995954,0.292558952593172,1200,10.157689713689717,4.143949582960732,18.400271737645816,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
12,19.1167049407959,995954,0.292558952593172,1300,10.036672565997087,3.9525640813946534,16.942919098852546,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
13,19.1167049407959,995954,0.292558952593172,1400,9.728825366274766,4.329259379401412,18.00684310789626,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
14,19.1167049407959,995954,0.292558952593172,1500,9.595649247239404,4.2665185012459546,18.874576960793004,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
15,19.1167049407959,995954,0.292558952593172,1600,10.401411074219018,4.1978600717743815,18.14767181269307,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
16,19.1167049407959,995954,0.292558952593172,1700,9.149597759660452,4.286239027955557,16.653505998034635,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
17,19.1167049407959,995954,0.292558952593172,1800,9.471327552239893,3.9633567066747872,18.099972319779326,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
18,19.122724011813606,992975,0.2865398815754645,1900,9.61453982773685,4.093250877219054,19.122724011813606,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
19,19.122724011813606,992975,0.2865398815754645,2000,10.382326901293565,4.1667041125599384,19.087511192776674,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
20,19.122724011813606,992975,0.2865398815754645,2100,9.943615009834879,4.045187733554779,19.01206988995212,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
21,19.122724011813606,992975,0.2865398815754645,2200,9.28772490479315,3.9258180377426495,16.91425080727777,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
22,19.122724011813606,992975,0.2865398815754645,2300,9.175634465766832,4.382860477152131,18.72679629111163,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
23,19.122724011813606,992975,0.2865398815754645,2400,9.943248112499447,3.9829233754878257,16.975244717354176,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
24,19.122724011813606,992975,0.2865398815754645,2500,10.522574721333033,4.142063219960787,18.101317067360487,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
25,19.122724011813606,992975,0.2865398815754645,2600,9.686932675583655,3.780461491621202,17.905485976387126,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
26,19.122724011813606,992975,0.2865398815754645,2700,9.701549213408029,4.02226369041005,18.89165084581315,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
27,19.122724011813606,992975,0.2865398815754645,2800,9.11219161987163,4.026839189585066,17.835467871600493,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
28,19.122724011813606,992975,0.2865398815754645,2900,9.497798813028282,4.00756846532951,19.045724642323922,random_search,100,1,42,19.40926389338907,1000000,100,1000,staircase_grid
