n_nodes,n_edges,seed,sparse_rw_time,dense_rw_time,sparse_size_mb,dense_size_mb,sparse_dense_equiv_mb,compression_ratio,time_speedup,sparse_file_size_mb,dense_file_size_mb,sparse_total_nnz,sparse_avg_nnz_per_matrix,graph_sparsity,step_matrix_sparsity,run_dense,is_feasible,has_dense_data
32,32,42,0.1830153465270996,0.10500669479370117,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.5737589594878729,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,43,0.13337969779968262,0.1070089340209961,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.802288022737226,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,44,0.14064693450927734,0.10709190368652344,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.7614236603177401,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,45,0.13440561294555664,0.10971856117248535,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.8163242499175148,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
32,32,46,0.1335906982421875,0.10443878173828125,0.00439453125,0.0234375,0.0234375,5.333333333333333,0.7817818389491719,0.004367828369140625,0.023706436157226562,288,96.0,0.0625,0.09375,True,True,True
64,64,42,0.20098590850830078,0.19419097900390625,0.0087890625,0.09375,0.09375,10.666666666666666,0.9661920104009983,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,43,0.16694879531860352,0.19594955444335938,0.0087890625,0.09375,0.09375,10.666666666666666,1.1737105024891679,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,44,0.16265010833740234,0.19472575187683105,0.0087890625,0.09375,0.09375,10.666666666666666,1.197206407467561,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,45,0.14223718643188477,0.1932828426361084,0.0087890625,0.09375,0.09375,10.666666666666666,1.3588770101879695,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
64,64,46,0.1562206745147705,0.19335055351257324,0.0087890625,0.09375,0.09375,10.666666666666666,1.2376758333244307,0.008043289184570312,0.09402751922607422,576,192.0,0.03125,0.046875,True,True,True
128,128,42,0.2541961669921875,0.4402928352355957,0.017578125,0.375,0.375,21.333333333333332,1.7320986403745724,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,43,0.1808323860168457,0.42217016220092773,0.017578125,0.375,0.375,21.333333333333332,2.3345937721664516,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,44,0.19017982482910156,0.39928102493286133,0.017578125,0.375,0.375,21.333333333333332,2.0994920217833895,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,45,0.18050265312194824,0.3989078998565674,0.017578125,0.375,0.375,21.333333333333332,2.2099835817208944,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
128,128,46,0.18000149726867676,0.4222755432128906,0.017578125,0.375,0.375,21.333333333333332,2.3459557260381385,0.015369415283203125,0.3752775192260742,1152,384.0,0.015625,0.0234375,True,True,True
256,256,42,0.25957584381103516,0.8350090980529785,0.03515625,1.5,1.5,42.666666666666664,3.2168212796443596,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
256,256,43,0.2542579174041748,0.8258845806121826,0.03515625,1.5,1.5,42.666666666666664,3.2482157843656667,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
256,256,44,0.24389362335205078,0.8267529010772705,0.03515625,1.5,1.5,42.666666666666664,3.3898094165581583,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
