,n_nodes,n_nodes,n_nodes,n_nodes,n_edges,n_edges,n_edges,n_edges,seed,seed,seed,seed,sparse_rw_time,sparse_rw_time,sparse_rw_time,sparse_rw_time,dense_rw_time,dense_rw_time,dense_rw_time,dense_rw_time,sparse_size_mb,sparse_size_mb,sparse_size_mb,sparse_size_mb,dense_size_mb,dense_size_mb,dense_size_mb,dense_size_mb,sparse_dense_equiv_mb,sparse_dense_equiv_mb,sparse_dense_equiv_mb,sparse_dense_equiv_mb,compression_ratio,compression_ratio,compression_ratio,compression_ratio,time_speedup,time_speedup,time_speedup,time_speedup,sparse_file_size_mb,sparse_file_size_mb,sparse_file_size_mb,sparse_file_size_mb,dense_file_size_mb,dense_file_size_mb,dense_file_size_mb,dense_file_size_mb,sparse_total_nnz,sparse_total_nnz,sparse_total_nnz,sparse_total_nnz,sparse_avg_nnz_per_matrix,sparse_avg_nnz_per_matrix,sparse_avg_nnz_per_matrix,sparse_avg_nnz_per_matrix,graph_sparsity,graph_sparsity,graph_sparsity,graph_sparsity,step_matrix_sparsity,step_matrix_sparsity,step_matrix_sparsity,step_matrix_sparsity
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
n_nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.0,0.0,32,32,32.0,0.0,32,32,44.0,1.5811,42,46,0.1689,0.0444,0.1448,0.2479,0.1069,0.0033,0.1035,0.1104,0.0044,0.0,0.0044,0.0044,0.0234,0.0,0.0234,0.0234,0.0234,0.0,0.0234,0.0234,5.3333,0.0,5.3333,5.3333,0.6602,0.1306,0.4298,0.753,0.0044,0.0,0.0044,0.0044,0.0237,0.0,0.0237,0.0237,288.0,0.0,288,288,96.0,0.0,96.0,96.0,0.0625,0.0,0.0625,0.0625,0.0938,0.0,0.0938,0.0938
64,64.0,0.0,64,64,64.0,0.0,64,64,44.0,1.5811,42,46,0.1771,0.0448,0.1516,0.2568,0.1968,0.0061,0.1927,0.2076,0.0088,0.0,0.0088,0.0088,0.0938,0.0,0.0938,0.0938,0.0938,0.0,0.0938,0.0938,10.6667,0.0,10.6667,10.6667,1.1555,0.2203,0.7622,1.2711,0.008,0.0,0.008,0.008,0.094,0.0,0.094,0.094,576.0,0.0,576,576,192.0,0.0,192.0,192.0,0.0312,0.0,0.0312,0.0312,0.0469,0.0,0.0469,0.0469
128,128.0,0.0,128,128,128.0,0.0,128,128,44.0,1.5811,42,46,0.2173,0.0553,0.1786,0.3132,0.409,0.02,0.3934,0.444,0.0176,0.0,0.0176,0.0176,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,21.3333,0.0,21.3333,21.3333,1.9606,0.392,1.2786,2.2533,0.0154,0.0,0.0154,0.0154,0.3753,0.0,0.3753,0.3753,1152.0,0.0,1152,1152,384.0,0.0,384.0,384.0,0.0156,0.0,0.0156,0.0156,0.0234,0.0,0.0234,0.0234
256,256.0,0.0,256,256,256.0,0.0,256,256,44.0,1.5811,42,46,0.2683,0.0456,0.2381,0.3488,0.8392,0.0244,0.8083,0.8716,0.0352,0.0,0.0352,0.0352,1.5,0.0,1.5,1.5,1.5,0.0,1.5,1.5,42.6667,0.0,42.6667,42.6667,3.1884,0.4611,2.416,3.6611,0.03,0.0,0.03,0.03,1.5003,0.0,1.5003,1.5003,2304.0,0.0,2304,2304,768.0,0.0,768.0,768.0,0.0078,0.0,0.0078,0.0078,0.0117,0.0,0.0117,0.0117
512,512.0,0.0,512,512,512.0,0.0,512,512,44.0,1.5811,42,46,0.3845,0.0415,0.3518,0.4553,1.7192,0.1214,1.6442,1.933,0.0703,0.0,0.0703,0.0703,6.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,85.3333,0.0,85.3333,85.3333,4.4873,0.2474,4.2452,4.7615,0.0593,0.0,0.0593,0.0593,6.0003,0.0,6.0003,6.0003,4608.0,0.0,4608,4608,1536.0,0.0,1536.0,1536.0,0.0039,0.0,0.0039,0.0039,0.0059,0.0,0.0059,0.0059
1024,1024.0,0.0,1024,1024,1024.0,0.0,1024,1024,44.0,1.5811,42,46,0.561,0.0463,0.517,0.6251,4.2808,0.0702,4.2133,4.3744,0.1406,0.0,0.1406,0.1406,24.0,0.0,24.0,24.0,24.0,0.0,24.0,24.0,170.6667,0.0,170.6667,170.6667,7.6697,0.6097,6.7989,8.3851,0.1179,0.0,0.1179,0.1179,24.0003,0.0,24.0003,24.0003,9216.0,0.0,9216,9216,3072.0,0.0,3072.0,3072.0,0.002,0.0,0.002,0.002,0.0029,0.0,0.0029,0.0029
2048,2048.0,0.0,2048,2048,2048.0,0.0,2048,2048,44.0,1.5811,42,46,0.9536,0.0314,0.9289,1.007,10.6618,0.0792,10.5986,10.7936,0.2812,0.0,0.2812,0.2812,96.0,0.0,96.0,96.0,96.0,0.0,96.0,96.0,341.3407,0.0101,341.3333,341.3519,11.1895,0.3581,10.6021,11.483,0.2351,0.0,0.2351,0.2351,96.0003,0.0,96.0003,96.0003,18431.6,0.5477,18431,18432,6143.8667,0.1826,6143.6667,6144.0,0.001,0.0,0.001,0.001,0.0015,0.0,0.0015,0.0015
4096,4096.0,0.0,4096,4096,4096.0,0.0,4096,4096,44.0,1.5811,42,46,1.7978,0.0141,1.7814,1.8128,33.4471,0.0955,33.3449,33.5876,0.5625,0.0,0.5625,0.5625,384.0,0.0,384.0,384.0,384.0,0.0,384.0,384.0,682.6852,0.0185,682.6667,682.7037,18.6057,0.1764,18.4283,18.8543,0.4695,0.0,0.4695,0.4695,384.0003,0.0,384.0003,384.0003,36863.0,1.0,36862,36864,12287.6667,0.3333,12287.3333,12288.0,0.0005,0.0,0.0005,0.0005,0.0007,0.0,0.0007,0.0007
8192,8192.0,0.0,8192,8192,8192.0,0.0,8192,8192,44.0,1.5811,42,46,3.5115,0.0187,3.4883,3.5332,102.6704,1.5868,101.6221,105.425,1.125,0.0,1.125,1.125,1536.0,0.0,1536.0,1536.0,1536.0,0.0,1536.0,1536.0,1365.3741,0.0203,1365.3519,1365.3889,29.2404,0.5862,28.8514,30.2226,0.9383,0.0,0.9382,0.9383,1536.0003,0.0,1536.0003,1536.0003,73725.8,1.0954,73725,73727,24575.2667,0.3651,24575.0,24575.6667,0.0002,0.0,0.0002,0.0002,0.0004,0.0,0.0004,0.0004
16384,16384.0,0.0,16384,16384,16384.0,0.0,16384,16384,44.0,1.5811,42,46,6.9101,0.0398,6.8664,6.9522,364.6197,0.8693,363.3972,365.4086,2.2499,0.0,2.2499,2.25,6144.0,0.0,6144.0,6144.0,6144.0,0.0,6144.0,6144.0,2730.7296,0.0166,2730.7037,2730.7407,52.7677,0.2834,52.5471,53.1642,1.8758,0.0,1.8758,1.8758,6144.0003,0.0,6144.0003,6144.0003,147452.6,0.8944,147452,147454,49150.8667,0.2981,49150.6667,49151.3333,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0002,0.0002
