,n_nodes,n_nodes,n_nodes,n_nodes,seed,seed,seed,seed,n_train,n_train,n_train,n_train,n_test,n_test,n_test,n_test,train_time,train_time,train_time,train_time,inference_time,inference_time,inference_time,inference_time,total_time,total_time,total_time,total_time,test_rmse,test_rmse,test_rmse,test_rmse,noise_variance,noise_variance,noise_variance,noise_variance,modulator_l2,modulator_l2,modulator_l2,modulator_l2
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
n_nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.0,0.0,32,32,44.0,1.5811,42,46,19.0,0.0,19,19,7.0,0.0,7,7,4.8118,1.6089,4.0216,7.6881,0.143,0.162,0.0584,0.4321,4.9549,1.7708,4.086,8.1202,0.8339,0.2006,0.5993,1.0799,0.1178,0.1075,0.0165,0.2816,2.1798,0.3269,1.7858,2.5785
64,64.0,0.0,64,64,44.0,1.5811,42,46,38.0,0.0,38,38,14.0,0.0,14,14,3.8867,0.1254,3.7298,4.035,0.0629,0.0067,0.0567,0.0735,3.9495,0.1299,3.7866,4.1086,0.5944,0.0467,0.5636,0.6765,0.2139,0.1396,0.0733,0.4245,2.6105,0.2368,2.2768,2.8699
128,128.0,0.0,128,128,44.0,1.5811,42,46,76.0,0.0,76,76,27.0,0.0,27,27,3.9454,0.1615,3.79,4.2135,0.0642,0.0072,0.0586,0.0762,4.0096,0.1685,3.8495,4.2898,0.5023,0.0554,0.4429,0.5779,0.2979,0.3349,0.0378,0.7594,2.6526,0.4087,2.0356,3.0252
256,256.0,0.0,256,256,44.0,1.5811,42,46,153.0,0.0,153,153,52.0,0.0,52,52,4.093,0.2976,3.8022,4.4308,0.0727,0.0108,0.0594,0.0875,4.1656,0.2975,3.8897,4.5006,0.6572,0.0335,0.6174,0.7042,0.1091,0.17,0.0146,0.4119,2.4946,0.1878,2.2937,2.7781
512,512.0,0.0,512,512,44.0,1.5811,42,46,307.0,0.0,307,307,103.0,0.0,103,103,4.3791,0.661,3.8765,5.3057,0.0786,0.021,0.059,0.1054,4.4577,0.68,3.938,5.4018,0.5992,0.0857,0.5364,0.7458,0.2412,0.2807,0.0171,0.6414,2.5027,0.462,1.8958,2.9358
1024,1024.0,0.0,1024,1024,44.0,1.5811,42,46,614.0,0.0,614,614,206.0,0.0,206,206,4.4562,0.5026,3.9329,5.0959,0.0798,0.0129,0.0664,0.0976,4.536,0.5119,4.0014,5.1762,0.5833,0.0729,0.5404,0.7129,0.1752,0.25,0.0147,0.6042,2.5506,0.1724,2.3183,2.8001
2048,2048.0,0.0,2048,2048,44.0,1.5811,42,46,1228.0,0.0,1228,1228,411.0,0.0,411,411,4.2714,0.31,3.9926,4.7485,0.0779,0.0123,0.0617,0.0929,4.3493,0.3189,4.072,4.8414,0.5854,0.034,0.5505,0.6361,0.0838,0.0527,0.0414,0.1653,2.6584,0.407,2.0122,3.0806
4096,4096.0,0.0,4096,4096,44.0,1.5811,42,46,2457.0,0.0,2457,2457,820.0,0.0,820,820,3.2739,0.2755,3.0115,3.5898,0.0722,0.0148,0.0559,0.0922,3.346,0.2886,3.0708,3.682,0.5888,0.0388,0.5313,0.6309,0.1843,0.153,0.0333,0.3934,2.7247,0.4219,2.1122,3.1172
8192,8192.0,0.0,8192,8192,44.0,1.5811,42,46,4915.0,0.0,4915,4915,1639.0,0.0,1639,1639,4.1485,0.1649,3.9978,4.367,0.078,0.0061,0.0702,0.0869,4.2265,0.1684,4.0733,4.4448,0.6929,0.1838,0.5975,1.021,0.2544,0.34,0.0514,0.8558,2.3113,0.48,1.6189,2.7657
16384,16384.0,0.0,16384,16384,44.0,1.5811,42,46,9830.0,0.0,9830,9830,3278.0,0.0,3278,3278,5.0679,0.5898,4.3017,5.9433,0.0973,0.0191,0.0679,0.1194,5.1651,0.6081,4.3696,6.0627,0.6338,0.0981,0.5801,0.809,0.1755,0.2596,0.0326,0.6387,2.6649,0.42,1.9198,2.9202
