,n_nodes,n_nodes,n_nodes,n_nodes,seed,seed,seed,seed,n_train,n_train,n_train,n_train,n_test,n_test,n_test,n_test,train_time,train_time,train_time,train_time,inference_time,inference_time,inference_time,inference_time,total_time,total_time,total_time,total_time,test_rmse,test_rmse,test_rmse,test_rmse,noise_variance,noise_variance,noise_variance,noise_variance,modulator_l2,modulator_l2,modulator_l2,modulator_l2
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
n_nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.0,0.0,32,32,44.0,1.5811,42,46,19.0,0.0,19,19,7.0,0.0,7,7,1.7257,0.3365,1.4257,2.2893,0.0192,0.0023,0.0182,0.0234,1.745,0.3387,1.444,2.3127,0.2435,0.0596,0.1808,0.3221,0.0,0.0,0.0,0.0,0.6477,0.0259,0.6115,0.6726
64,64.0,0.0,64,64,44.0,1.5811,42,46,38.0,0.0,38,38,14.0,0.0,14,14,1.43,0.2187,1.1756,1.6759,0.0176,0.0016,0.0147,0.0184,1.4476,0.2198,1.1903,1.6943,0.1754,0.0276,0.1315,0.1982,0.0,0.0,0.0,0.0,0.5949,0.0261,0.5683,0.6358
128,128.0,0.0,128,128,44.0,1.5811,42,46,76.0,0.0,76,76,27.0,0.0,27,27,1.403,0.1164,1.2487,1.5355,0.0174,0.002,0.0149,0.0191,1.4204,0.1181,1.2636,1.5541,0.2094,0.0152,0.1888,0.231,0.0,0.0,0.0,0.0,0.5599,0.0122,0.5499,0.5805
256,256.0,0.0,256,256,44.0,1.5811,42,46,153.0,0.0,153,153,52.0,0.0,52,52,1.3712,0.1523,1.1688,1.5556,0.0162,0.0018,0.0152,0.0194,1.3874,0.1518,1.1841,1.571,0.2865,0.0225,0.2539,0.3174,0.0,0.0,0.0,0.0,0.5624,0.0134,0.5498,0.5825
512,512.0,0.0,512,512,44.0,1.5811,42,46,307.0,0.0,307,307,103.0,0.0,103,103,1.3703,0.2879,1.0677,1.7173,0.0209,0.0036,0.0185,0.0266,1.3912,0.287,1.0861,1.7393,0.2838,0.009,0.2717,0.293,0.0006,0.0008,0.0,0.0016,0.5845,0.0094,0.573,0.5938
1024,1024.0,0.0,1024,1024,44.0,1.5811,42,46,614.0,0.0,614,614,206.0,0.0,206,206,2.4648,0.5952,1.5617,3.2048,0.0446,0.0063,0.0365,0.0506,2.5094,0.5979,1.6009,3.2541,0.2478,0.013,0.2313,0.2638,0.0005,0.0011,0.0,0.0024,0.5688,0.0028,0.5652,0.5722
2048,2048.0,0.0,2048,2048,44.0,1.5811,42,46,1228.0,0.0,1228,1228,411.0,0.0,411,411,7.6799,1.6486,5.7754,9.6713,0.1732,0.0013,0.1714,0.1742,7.8531,1.6488,5.9467,9.8435,0.2709,0.0105,0.2589,0.2852,0.0009,0.0009,0.0,0.0021,0.5748,0.0036,0.5718,0.5791
4096,4096.0,0.0,4096,4096,44.0,1.5811,42,46,2457.0,0.0,2457,2457,820.0,0.0,820,820,40.3755,4.08,35.9426,46.5909,1.0433,0.006,1.035,1.0498,41.4188,4.0764,36.9911,47.6259,0.2821,0.006,0.2752,0.2918,0.0009,0.0007,0.0001,0.0021,0.5753,0.0039,0.5702,0.5812
8192,8192.0,0.0,8192,8192,44.0,1.5811,42,46,4915.0,0.0,4915,4915,1639.0,0.0,1639,1639,307.1877,35.9379,269.617,359.0336,7.5719,0.0003,7.5716,7.5724,314.7596,35.9378,277.1891,366.6054,0.2962,0.0055,0.2877,0.3008,0.0009,0.0006,0.0001,0.0016,0.5737,0.0015,0.5712,0.575
