,n_nodes,n_nodes,n_nodes,n_nodes,seed,seed,seed,seed,n_train,n_train,n_train,n_train,n_test,n_test,n_test,n_test,train_time,train_time,train_time,train_time,inference_time,inference_time,inference_time,inference_time,total_time,total_time,total_time,total_time,test_rmse,test_rmse,test_rmse,test_rmse,noise_variance,noise_variance,noise_variance,noise_variance,modulator_l2,modulator_l2,modulator_l2,modulator_l2
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
n_nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.0,0.0,32,32,44.0,1.5811,42,46,19.0,0.0,19,19,7.0,0.0,7,7,4.0142,0.294,3.6803,4.44,0.067,0.0064,0.0592,0.0761,4.0813,0.2975,3.7395,4.5067,0.8339,0.2006,0.5993,1.0799,0.1178,0.1075,0.0165,0.2816,2.1798,0.3269,1.7858,2.5785
64,64.0,0.0,64,64,44.0,1.5811,42,46,38.0,0.0,38,38,14.0,0.0,14,14,2.9811,0.0838,2.9116,3.0805,0.0566,0.0044,0.0529,0.0615,3.0376,0.0882,2.965,3.1418,0.5944,0.0467,0.5636,0.6765,0.2139,0.1396,0.0733,0.4245,2.6105,0.2368,2.2768,2.8699
128,128.0,0.0,128,128,44.0,1.5811,42,46,76.0,0.0,76,76,27.0,0.0,27,27,3.3436,0.4694,2.923,4.1261,0.0619,0.0099,0.0533,0.0785,3.4055,0.4785,2.9763,4.2046,0.5023,0.0554,0.4429,0.5779,0.2979,0.3349,0.0378,0.7594,2.6526,0.4087,2.0356,3.0252
256,256.0,0.0,256,256,44.0,1.5811,42,46,153.0,0.0,153,153,52.0,0.0,52,52,3.4758,0.3219,2.9686,3.846,0.0703,0.0115,0.0538,0.0827,3.5461,0.3328,3.0223,3.9287,0.6572,0.0335,0.6174,0.7042,0.1091,0.17,0.0146,0.4119,2.4946,0.1878,2.2937,2.7781
512,512.0,0.0,512,512,44.0,1.5811,42,46,307.0,0.0,307,307,103.0,0.0,103,103,3.7557,1.0326,2.9825,5.3637,0.0715,0.0214,0.0541,0.1015,3.8272,1.0537,3.0366,5.4652,0.5992,0.0857,0.5364,0.7458,0.2412,0.2807,0.0171,0.6414,2.5027,0.462,1.8958,2.9358
1024,1024.0,0.0,1024,1024,44.0,1.5811,42,46,614.0,0.0,614,614,206.0,0.0,206,206,3.5234,0.5176,3.0161,4.1003,0.0724,0.0143,0.0549,0.0898,3.5958,0.53,3.0768,4.1784,0.5833,0.0729,0.5404,0.7129,0.1752,0.25,0.0147,0.6042,2.5506,0.1724,2.3183,2.8001
2048,2048.0,0.0,2048,2048,44.0,1.5811,42,46,1228.0,0.0,1228,1228,411.0,0.0,411,411,3.397,0.2458,3.1967,3.6989,0.0753,0.0101,0.0643,0.0849,3.4722,0.2542,3.2719,3.7838,0.5854,0.034,0.5505,0.6361,0.0838,0.0527,0.0414,0.1653,2.6584,0.407,2.0122,3.0806
4096,4096.0,0.0,4096,4096,44.0,1.5811,42,46,2457.0,0.0,2457,2457,820.0,0.0,820,820,3.2676,0.2682,3.0837,3.7279,0.0698,0.0148,0.0579,0.091,3.3374,0.2819,3.1465,3.8189,0.5888,0.0388,0.5313,0.6309,0.1843,0.153,0.0333,0.3934,2.7247,0.4219,2.1122,3.1172
8192,8192.0,0.0,8192,8192,44.0,1.5811,42,46,4915.0,0.0,4915,4915,1639.0,0.0,1639,1639,3.4684,0.1657,3.3023,3.6709,0.071,0.0074,0.0596,0.0796,3.5393,0.1721,3.3619,3.7505,0.6929,0.1838,0.5975,1.021,0.2544,0.34,0.0514,0.8558,2.3113,0.48,1.6189,2.7657
