iteration,best_value,best_point,regret,dataset_size,batch_mean,batch_max,algorithm,dataset,bo_seed,bo_run,ground_truth_best,n_nodes,n_edges,density
1,-0.006794076878577471,343715,9.794288153636101,6,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
2,-0.006794076878577471,343715,9.794288153636101,7,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
3,0.40802687595301684,1060641,9.379467200804507,8,0.40802687595301684,0.40802687595301684,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
4,0.40802687595301684,1060641,9.379467200804507,9,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
5,0.40802687595301684,1060641,9.379467200804507,10,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
6,0.40802687595301684,1060641,9.379467200804507,11,-0.0067940766801022085,-0.0067940766801022085,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
7,0.40802687595301684,1060641,9.379467200804507,12,-0.0067940766801022085,-0.0067940766801022085,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
8,0.40802687595301684,1060641,9.379467200804507,13,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
9,0.40802687595301684,1060641,9.379467200804507,14,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
10,0.40802687595301684,1060641,9.379467200804507,15,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
11,0.40802687595301684,1060641,9.379467200804507,16,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
12,0.40802687595301684,1060641,9.379467200804507,17,-0.0067940766801022085,-0.0067940766801022085,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
13,0.40802687595301684,1060641,9.379467200804507,18,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
14,0.40802687595301684,1060641,9.379467200804507,19,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
15,1.7372902710521347,41441,8.050203805705388,20,1.7372902710521347,1.7372902710521347,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
16,1.7372902710521347,41441,8.050203805705388,21,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
