iteration,best_value,best_point,regret,dataset_size,batch_mean,batch_max,algorithm,dataset,bo_seed,bo_run,ground_truth_best,n_nodes,n_edges,density
1,2.025606870651245,4531,1.1388584603030263,51,-0.7773112226435581,-0.7773112226435581,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
2,2.025606870651245,4531,1.1388584603030263,52,0.3082992353139357,0.3082992353139357,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
3,2.025606870651245,4531,1.1388584603030263,53,0.4521296444397472,0.4521296444397472,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
4,2.025606870651245,4531,1.1388584603030263,54,0.38601333100709584,0.38601333100709584,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
5,2.025606870651245,4531,1.1388584603030263,55,-1.3879929699599511,-1.3879929699599511,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
6,2.025606870651245,4531,1.1388584603030263,56,1.236208849556142,1.236208849556142,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
7,2.025606870651245,4531,1.1388584603030263,57,-1.1743338810110182,-1.1743338810110182,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
8,2.025606870651245,4531,1.1388584603030263,58,-0.7386646776678615,-0.7386646776678615,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
9,2.025606870651245,4531,1.1388584603030263,59,0.7206002994376927,0.7206002994376927,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
10,2.025606870651245,4531,1.1388584603030263,60,1.6949548474439153,1.6949548474439153,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
11,2.025606870651245,4531,1.1388584603030263,61,0.6737100503065458,0.6737100503065458,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
12,2.025606870651245,4531,1.1388584603030263,62,1.3600655823746823,1.3600655823746823,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
13,2.025606870651245,4531,1.1388584603030263,63,-1.1228337197179346,-1.1228337197179346,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
14,2.025606870651245,4531,1.1388584603030263,64,-1.1036313635809571,-1.1036313635809571,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
15,2.025606870651245,4531,1.1388584603030263,65,1.2378682816355449,1.2378682816355449,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
16,2.025606870651245,4531,1.1388584603030263,66,-0.819455584374171,-0.819455584374171,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
17,2.025606870651245,4531,1.1388584603030263,67,0.6809542216969662,0.6809542216969662,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
18,2.025606870651245,4531,1.1388584603030263,68,-0.7759604993279612,-0.7759604993279612,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
19,2.025606870651245,4531,1.1388584603030263,69,-0.7538005402523527,-0.7538005402523527,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
20,2.025606870651245,4531,1.1388584603030263,70,0.16881035507389594,0.16881035507389594,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
21,2.025606870651245,4531,1.1388584603030263,71,0.15907640301578474,0.15907640301578474,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
22,2.025606870651245,4531,1.1388584603030263,72,1.6619901426287504,1.6619901426287504,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
23,2.025606870651245,4531,1.1388584603030263,73,-0.7818872977560867,-0.7818872977560867,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
24,2.025606870651245,4531,1.1388584603030263,74,-0.7750303950961162,-0.7750303950961162,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
25,2.025606870651245,4531,1.1388584603030263,75,0.47241020658267335,0.47241020658267335,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
26,2.025606870651245,4531,1.1388584603030263,76,-0.6219512271315287,-0.6219512271315287,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
27,2.025606870651245,4531,1.1388584603030263,77,-0.29010909370804516,-0.29010909370804516,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
28,2.025606870651245,4531,1.1388584603030263,78,-0.0334927942238701,-0.0334927942238701,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
29,2.025606870651245,4531,1.1388584603030263,79,1.4803376077598227,1.4803376077598227,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
30,2.025606870651245,4531,1.1388584603030263,80,-1.084015771010308,-1.084015771010308,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
31,2.025606870651245,4531,1.1388584603030263,81,0.30269761106614457,0.30269761106614457,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
32,2.025606870651245,4531,1.1388584603030263,82,1.5248930379619507,1.5248930379619507,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
33,2.025606870651245,4531,1.1388584603030263,83,-1.0927192913910273,-1.0927192913910273,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
34,2.025606870651245,4531,1.1388584603030263,84,-0.3831840712060883,-0.3831840712060883,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
35,2.025606870651245,4531,1.1388584603030263,85,-0.863207473781269,-0.863207473781269,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
36,2.025606870651245,4531,1.1388584603030263,86,-0.7773112226435581,-0.7773112226435581,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
37,2.025606870651245,4531,1.1388584603030263,87,-0.8479875793133574,-0.8479875793133574,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
38,2.025606870651245,4531,1.1388584603030263,88,-0.4764677327821892,-0.4764677327821892,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
39,2.025606870651245,4531,1.1388584603030263,89,-1.2494549908748003,-1.2494549908748003,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
40,2.025606870651245,4531,1.1388584603030263,90,1.1020680575576167,1.1020680575576167,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
41,2.025606870651245,4531,1.1388584603030263,91,-1.04431268877041,-1.04431268877041,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
42,2.025606870651245,4531,1.1388584603030263,92,0.025523721971799092,0.025523721971799092,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
43,2.025606870651245,4531,1.1388584603030263,93,0.9973818368468271,0.9973818368468271,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
44,2.025606870651245,4531,1.1388584603030263,94,-1.09330927018118,-1.09330927018118,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
45,2.025606870651245,4531,1.1388584603030263,95,0.8614178760022909,0.8614178760022909,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
46,2.025606870651245,4531,1.1388584603030263,96,0.2600583346099025,0.2600583346099025,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
47,2.025606870651245,4531,1.1388584603030263,97,-0.9699458802559892,-0.9699458802559892,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
48,2.025606870651245,4531,1.1388584603030263,98,-0.6252718864909668,-0.6252718864909668,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
49,2.025606870651245,4531,1.1388584603030263,99,-0.767009825934194,-0.767009825934194,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
50,2.025606870651245,4531,1.1388584603030263,100,-1.2345723569029992,-1.2345723569029992,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
51,2.025606870651245,4531,1.1388584603030263,101,-0.02462540929295375,-0.02462540929295375,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
52,2.025606870651245,4531,1.1388584603030263,102,0.18022950426038972,0.18022950426038972,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
53,2.025606870651245,4531,1.1388584603030263,103,0.8603431268679013,0.8603431268679013,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
54,2.025606870651245,4531,1.1388584603030263,104,-0.848799595331551,-0.848799595331551,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
55,2.025606870651245,4531,1.1388584603030263,105,-0.9620763800745805,-0.9620763800745805,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
56,2.025606870651245,4531,1.1388584603030263,106,-0.5751143487692972,-0.5751143487692972,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
57,2.025606870651245,4531,1.1388584603030263,107,0.8696032788998443,0.8696032788998443,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
58,2.025606870651245,4531,1.1388584603030263,108,-0.39050677127402333,-0.39050677127402333,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
59,2.025606870651245,4531,1.1388584603030263,109,-1.2791809867838901,-1.2791809867838901,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
60,2.025606870651245,4531,1.1388584603030263,110,-0.5916558927861155,-0.5916558927861155,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
61,2.025606870651245,4531,1.1388584603030263,111,1.3548476065448574,1.3548476065448574,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
62,2.025606870651245,4531,1.1388584603030263,112,1.981274527685448,1.981274527685448,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
63,2.025606870651245,4531,1.1388584603030263,113,0.33415391465480154,0.33415391465480154,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
64,2.025606870651245,4531,1.1388584603030263,114,0.40140592654070845,0.40140592654070845,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
65,2.025606870651245,4531,1.1388584603030263,115,1.0822968432450641,1.0822968432450641,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
66,2.025606870651245,4531,1.1388584603030263,116,-0.3272757535453408,-0.3272757535453408,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
67,2.025606870651245,4531,1.1388584603030263,117,0.20161452397243185,0.20161452397243185,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
68,2.025606870651245,4531,1.1388584603030263,118,1.0234045803181313,1.0234045803181313,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
69,2.025606870651245,4531,1.1388584603030263,119,-0.8900172164054126,-0.8900172164054126,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
70,2.025606870651245,4531,1.1388584603030263,120,-0.19572954266640138,-0.19572954266640138,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
71,2.0969663538867716,7678,1.0674989770674999,121,2.0969663538867716,2.0969663538867716,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
72,2.0969663538867716,7678,1.0674989770674999,122,-1.1505760991936023,-1.1505760991936023,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
73,2.0969663538867716,7678,1.0674989770674999,123,-0.7792063228744085,-0.7792063228744085,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
74,2.0969663538867716,7678,1.0674989770674999,124,0.2759942839818621,0.2759942839818621,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
75,2.0969663538867716,7678,1.0674989770674999,125,-0.6830102562209269,-0.6830102562209269,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
76,2.0969663538867716,7678,1.0674989770674999,126,1.1832634433130997,1.1832634433130997,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
77,2.0969663538867716,7678,1.0674989770674999,127,-1.1836356913948503,-1.1836356913948503,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
78,2.0969663538867716,7678,1.0674989770674999,128,-1.2437496016462233,-1.2437496016462233,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
79,2.0969663538867716,7678,1.0674989770674999,129,1.7154486783128828,1.7154486783128828,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
80,2.0969663538867716,7678,1.0674989770674999,130,1.0492887078806485,1.0492887078806485,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
81,2.0969663538867716,7678,1.0674989770674999,131,1.4028302963468693,1.4028302963468693,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
82,2.0969663538867716,7678,1.0674989770674999,132,-0.9616548503316468,-0.9616548503316468,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
83,2.0969663538867716,7678,1.0674989770674999,133,-1.0235864206920087,-1.0235864206920087,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
84,2.0969663538867716,7678,1.0674989770674999,134,-0.24272439405858592,-0.24272439405858592,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
85,2.0969663538867716,7678,1.0674989770674999,135,1.4915651439853983,1.4915651439853983,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
86,2.0969663538867716,7678,1.0674989770674999,136,-1.4321077621627853,-1.4321077621627853,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
87,2.0969663538867716,7678,1.0674989770674999,137,0.009973536393648145,0.009973536393648145,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
88,2.0969663538867716,7678,1.0674989770674999,138,-0.767009825934194,-0.767009825934194,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
89,2.0969663538867716,7678,1.0674989770674999,139,0.47889734820626584,0.47889734820626584,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
90,2.0969663538867716,7678,1.0674989770674999,140,-0.4367615245494607,-0.4367615245494607,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
91,2.0969663538867716,7678,1.0674989770674999,141,-1.246888367756472,-1.246888367756472,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
92,2.0969663538867716,7678,1.0674989770674999,142,0.2553844064498777,0.2553844064498777,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
93,2.0969663538867716,7678,1.0674989770674999,143,-1.13186832866378,-1.13186832866378,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
94,2.0969663538867716,7678,1.0674989770674999,144,0.31849639111903394,0.31849639111903394,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
95,2.0969663538867716,7678,1.0674989770674999,145,-0.36773593791998826,-0.36773593791998826,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
96,2.230123385474051,8169,0.9343419454802202,146,2.230123385474051,2.230123385474051,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
97,2.230123385474051,8169,0.9343419454802202,147,0.2793771895669597,0.2793771895669597,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
98,2.230123385474051,8169,0.9343419454802202,148,0.8634203655645254,0.8634203655645254,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
99,2.230123385474051,8169,0.9343419454802202,149,-0.9946510443203764,-0.9946510443203764,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
100,2.230123385474051,8169,0.9343419454802202,150,-0.4129160477849685,-0.4129160477849685,random_search,500hpa_wide,100,1,3.1644653309542714,10512,20880,0.0003779112195325369
1,2.0865519046783447,4826,1.0779134262759267,51,0.5753301003739195,0.5753301003739195,random_search,500hpa_wide,110,2,3.1644653309542714,10512,20880,0.0003779112195325369
2,2.0865519046783447,4826,1.0779134262759267,52,0.7162419245634227,0.7162419245634227,random_search,500hpa_wide,110,2,3.1644653309542714,10512,20880,0.0003779112195325369
3,2.0865519046783447,4826,1.0779134262759267,53,-1.108612791492961,-1.108612791492961,random_search,500hpa_wide,110,2,3.1644653309542714,10512,20880,0.0003779112195325369
4,2.0865519046783447,4826,1.0779134262759267,54,-0.3972252273165578,-0.3972252273165578,random_search,500hpa_wide,110,2,3.1644653309542714,10512,20880,0.0003779112195325369
5,2.0865519046783447,4826,1.0779134262759267,55,0.005710151560767214,0.005710151560767214,random_search,500hpa_wide,110,2,3.1644653309542714,10512,20880,0.0003779112195325369
6,2.0865519046783447,4826,1.0779134262759267,56,2.055372239793993,2.055372239793993,random_search,500hpa_wide,110,2,3.1644653309542714,10512,20880,0.0003779112195325369
