,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
1000hpa_wide,bfs,2.9486,0.5093,3.6076,1.0285,0.5093,0.3694,1000
1000hpa_wide,dfs,2.9436,0.5161,3.6076,1.0335,0.5161,0.3694,1000
1000hpa_wide,random_search,3.2194,0.5099,3.9076,0.7576,0.5099,0.0695,1000
1000hpa_wide,sparse_grf,2.9031,0.506,3.602,1.0739,0.506,0.375,1000
500hpa_wide,bfs,2.2787,0.1668,2.5054,0.8857,0.1668,0.659,1000
500hpa_wide,dfs,2.2827,0.1701,2.5054,0.8818,0.1701,0.659,1000
500hpa_wide,random_search,2.3431,0.3146,3.1645,0.8214,0.3146,0.0,1000
500hpa_wide,sparse_grf,2.2071,0.2344,2.6411,0.9574,0.2344,0.5234,1000
800hpa_wide,bfs,2.9815,0.2852,3.4506,0.9648,0.2852,0.4958,1000
800hpa_wide,dfs,2.979,0.287,3.4506,0.9674,0.287,0.4958,1000
800hpa_wide,random_search,3.1857,0.32,3.5904,0.7606,0.32,0.3559,1000
800hpa_wide,sparse_grf,2.9413,0.3225,3.4506,1.005,0.3225,0.4958,1000
