,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
enron,bfs,4.9749,0.11,5.0265,0.0516,0.11,0.0,3000
enron,dfs,4.9106,0.2481,5.0265,0.1159,0.2481,0.0,3000
enron,random_search,4.4539,0.336,4.9488,0.5726,0.336,0.0777,3000
enron,sparse_grf,5.0204,0.0439,5.0265,0.0061,0.0439,0.0,3000
facebook,bfs,3.6064,0.2083,3.7562,0.1498,0.2083,0.0,3000
facebook,dfs,3.6022,0.2452,3.7562,0.154,0.2452,0.0,3000
facebook,random_search,3.1629,0.2609,3.4775,0.5934,0.2609,0.2788,3000
facebook,sparse_grf,3.7535,0.0406,3.7562,0.0027,0.0406,0.0,3000
twitch,bfs,5.0062,0.2407,5.1094,0.1032,0.2407,0.0,3000
twitch,dfs,4.9403,0.2979,5.1094,0.1691,0.2979,0.0,3000
twitch,random_search,4.1675,0.262,4.3962,0.9419,0.262,0.7132,3000
twitch,sparse_grf,4.9577,0.1943,5.1094,0.1517,0.1943,0.0,3000
youtube,bfs,9.6264,0.4886,9.7875,0.1611,0.4886,0.0,3000
youtube,dfs,9.4574,0.604,9.7875,0.3301,0.604,0.0,3000
youtube,random_search,5.2015,0.4872,5.8753,4.586,0.4872,3.9122,3000
youtube,sparse_grf,9.7484,0.2676,9.7875,0.0391,0.2676,0.0,3000
