,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
circular,bfs,2.0881,0.0376,2.1264,0.0383,0.0376,-0.0,3000
circular,dfs,2.088,0.0376,2.1264,0.0384,0.0376,-0.0,3000
circular,random_search,2.0754,0.0364,2.1264,0.051,0.0364,-0.0,3000
circular,sparse_grf,2.0975,0.0295,2.1264,0.0289,0.0295,-0.0,3000
community,bfs,1.825,0.0232,1.8544,0.0293,0.0232,0.0,3000
community,dfs,1.8242,0.0241,1.8544,0.0302,0.0241,0.0,3000
community,random_search,1.8262,0.0228,1.8544,0.0282,0.0228,0.0,3000
community,sparse_grf,1.8349,0.0232,1.8544,0.0195,0.0232,0.0,3000
multi_modal,bfs,4.9852,0.2154,5.3092,0.7054,0.2154,0.3814,3000
multi_modal,dfs,4.9851,0.2153,5.3092,0.7055,0.2153,0.3814,3000
multi_modal,random_search,4.8868,0.111,5.0275,0.8038,0.111,0.663,3000
multi_modal,sparse_grf,4.8906,0.0961,4.9988,0.8,0.0961,0.6918,3000
single_modal,bfs,3.423,0.0399,3.4866,0.4972,0.0399,0.4336,3000
single_modal,dfs,3.4443,0.0632,3.5602,0.4759,0.0632,0.36,3000
single_modal,random_search,3.4061,0.0238,3.4412,0.5142,0.0238,0.4791,3000
single_modal,sparse_grf,3.475,0.1163,3.6372,0.4452,0.1163,0.283,3000
