,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
bimodal,bfs,5.1623,0.1402,5.3958,0.2334,0.1402,0.0,5000
bimodal,dfs,5.1533,0.1365,5.328,0.2424,0.1365,0.0678,5000
bimodal,random_search,5.1777,0.1152,5.328,0.2181,0.1152,0.0678,5000
bimodal,sparse_grf,5.3889,0.0323,5.3958,0.0069,0.0323,0.0,5000
circular,bfs,2.0843,0.039,2.1264,0.0421,0.039,-0.0,5000
circular,dfs,2.0842,0.039,2.1264,0.0421,0.039,-0.0,5000
circular,random_search,2.0579,0.0356,2.1264,0.0685,0.0356,-0.0,5000
circular,sparse_grf,2.0707,0.0312,2.1264,0.0557,0.0312,-0.0,5000
community,bfs,1.8181,0.0199,1.8544,0.0363,0.0199,0.0,5000
community,dfs,1.8196,0.02,1.8544,0.0348,0.02,0.0,5000
community,random_search,1.8188,0.0198,1.8544,0.0356,0.0198,0.0,5000
community,sparse_grf,1.8307,0.0164,1.8544,0.0237,0.0164,0.0,5000
